If you have any questions or corrections please email Franklin (ffein@stanford.edu),,Please let us know which metrics you found most useful and suggestions for more! https://forms.gle/U7cqAyRm2huJCn3a7,,,,,Last updated: 6/1/2021,,,,,,,,,,,
Assession Number,Dataset URL,Dataset name,Dataset made public (MM/DD/YYYY),Most recent snapshot date (MM/DD/YYYY),# of subjects,Modalities available?,DX status(es),Ages (range),Tasks completed?,# of trials (if applicable),Study design,Domain studied,Longitudinal?,Processed data?,Species?,DOI of paper associated with DS (from submitter lab),DOI of paper because DS on OpenNeuro,"Senior Author (lab that collected data) Last, First"
ds000113,https://openneuro.org/datasets/ds000113/versions/1.3.0,Forrest Gump,8/21/2018,9/23/2018,37,"MRI - anat, MRI - func, MRI - dwi, angiography, fieldmaps",Healthy/Control,"18-25, 26-34, 35-50",forrest gump viewing,,realistic stimuli (movie watching),processing sensory information,No,Yes,Human,"https://doi.org/10.1038/sdata.2014.3, https://doi.org/10.1038/sdata.2016.92, https://doi.org/10.1016/j.dib.2017.05.014, https://doi.org/10.12688/f1000research.6679.1","10.1007/s00180-019-00925-8, arXiv:2001.02894v1","Hanke, Michael"
ds000114,https://openneuro.org/datasets/ds000114/versions/1.0.1,"A test-retest fMRI dataset for motor, language and spatial attention functions.",7/17/2018,9/7/2018,10,"MRI - anat, MRI - func, MRI - dwi",Healthy/Control,51-65,"covert verb generation, finger foot lips, line bisection, overt verb generation, overt word repetition",160,test-retest,"motor, language, and spatial attention",Yes,No,Human,10.1186/2047-217X-2-6,,"Pernet, Cyril"
ds000115,https://openneuro.org/datasets/ds000115/versions/00001,Working memory in healthy and schizophrenic individuals,7/13/2018,7/13/2018,99,"MRI - anat, MRI - func","Healthy/Control, Schizophrenia, Siblings of controls, Siblings of Schizprenia group","11-17, 18-25, 26-34","letter 0-back task, letter 1-back task, letter 2-back task",,,"Working Memory, Schizophrenia",No,No,Human,10.3389/fnhum.2012.00137,"https://arxiv.org/pdf/1911.01898.pdf, 10.1016/j.eswa.2020.113819","Barch, Deanna M."
ds000116,https://openneuro.org/datasets/ds000116/versions/00003,Auditory and Visual Oddball EEG-fMRI,7/16/2018,7/16/2018,17,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50",visual and auditory oddball ,125,,Auditory and visual,No,No,Human,"10.1016/j.neuroimage.2015.03.028, arXiv:1307.8430, 10.1523/JNEUROSCI.2649-13.2013, 10.1016/j.neuroimage.2013.08.014, 10.1371/journal.pone.007927",arXiv:2001.02894v1,"Sajda, Paul"
ds000117,https://openneuro.org/datasets/ds000117/versions/1.0.3,"Multisubject, multimodal face processing",7/16/2018,11/26/2018,16,"MRI - anat, MRI - func, MRI - dwi, MEG",Healthy/Control,"18-25, 26-34",face recognition,,,Multi-modal,No,Yes,Human,10.1038/sdata.2015.1,"10.1007/978-3-030-29184-6_4, 1910.03866v1, arXiv:2001.02894v1, 10.1016/j.neuroimage.2020.116778, 10.1088/1741-2552/ab8b2b","Henson, RN"
ds000119,https://openneuro.org/datasets/ds000119/versions/00001,Maturational Changes in Anterior Cingulate and Frontoparietal Recruitment Support the Development of Error Processing and Inhibitory Control (Antistate),7/16/2018,7/16/2018,73,"MRI - anat, MRI - func",Healthy/Control,"0-10, 11-17, 18-25, 26-34","visual guided saccade (vgs, aka ProSaccade), antisaccace (anti) task",49,,"Error Processing, Inhibitory Control, Maturational Changes",No,Yes,Human, https://doi.org/10.1093/cercor/bhn012,,"Luna, Beatriz"
ds000120,https://openneuro.org/datasets/ds000120/versions/00001,Developmental changes in brain function underlying the influence of reward processing on inhibitory control (Slot Reward),7/17/2018,7/17/2018,26,"MRI - anat, MRI - func",Healthy/Control,"0-10, 11-17, 18-25",antisaccade task with fixed order,,,"reward and cognitive control processes, response inhibition ",No,Yes,Human,10.1016/j.dcn.2011.06.004,,"Luna, Beatriz"
ds000121,https://openneuro.org/datasets/ds000121/versions/00001,Immaturities in Reward Processing and Its Influence on Inhibitory Control in Adolescence (Ring Reward),7/16/2018,7/16/2018,28,"MRI - anat, MRI - func",Healthy/Control,"0-10, 11-17, 18-25, 26-34, 66+",AntiSaccade (AS) Rewarded & Neutral with varying dot position,,,"Adolescence, Reward Processing, Inhibitory Control",No,Yes,Human,10.1093/cercor/bhp225,,"Geier, Charles"
ds000122,https://openneuro.org/datasets/ds000122/versions/00001,Task-related concurrent but opposite modulations of overlapping functional networks as revealed by spatial ICA,7/13/2018,7/13/2018,17,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50",visual attention task,273,,overlapping functional networks,No,Yes,Human,10.1016/j.neuroimage.2013.04.038,,"Potenza, Marc N."
ds000133,https://openneuro.org/datasets/ds000133/versions/00001,Modafinil alters intrinsic functional connectivity of the right posterior insula: a pharmacological resting state fMRI study,7/16/2018,7/16/2018,26,"MRI - anat, MRI - func",Healthy/Control,,resting state,,,"Modafinil, Right Posterior Insula",No,Yes,Human, https://doi.org/10.1371/journal.pone.0107145,,"Sensi, Stefano L. "
ds000138,https://openneuro.org/datasets/ds000138/versions/00002,Spinal fMRI reveals decreased descending inhibition during secondary mechanical hyperalgesia,7/16/2018,7/16/2018,16,MRI - func,Healthy/Control,"18-25, 26-34, 35-50","post heat stimulation, pre heat stimulation",,,spinal fMRI,No,No,Human,10.1371/journal.pone.0112325,,"Gierthmühlen, Janne"
ds000140,https://openneuro.org/datasets/ds000140/versions/00001,Distinct brain systems mediate the effects of nociceptive input and self-regulation on pain,7/18/2018,7/18/2018,33,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50, 51-65",heat pain with regulation and ratings,,,"pain, self-regulation",No,Yes,Human, 10.1371/journal.pbio.1002036,,"Wager, Tor D. "
ds000144,https://openneuro.org/datasets/ds000144/versions/00002,Preschool Anxiety Disorders,7/17/2018,7/17/2018,45,"MRI - anat, MRI - func",Healthy/Control,0-10,emotional faces,,,"Anxiety disorders, Amygdala-prefrontal connectivity ",Yes,No,Human," https://doi.org/10.1371/journal.pone.0116854
",,"Egger, Helen L. "
ds000148,https://openneuro.org/datasets/ds000148/versions/1.0.0,Who can afford self-control? The neural efficiency mechanism explains effective self-regulation of behavior,7/13/2018,5/15/2019,49,"MRI - anat, MRI - func",,18-25,figure 2-back with 1-back lures,129,,self-control,No,No,Human,,,"Falkiewicz, Marcel"
ds000149,https://openneuro.org/datasets/ds000149/versions/1.0.0,Scene Perception,8/7/2020,8/7/2020,15,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","picture manual response, picture n-back",,,,No,No,Human,10.1371/journal.pone.0128840,,"Tarr, Michael"
ds000157,https://openneuro.org/datasets/ds000157/versions/00001,Block design food and nonfood picture viewing task,7/16/2018,7/16/2018,30,"MRI - anat, MRI - func",Healthy/Control,18-25,Passive viewing task with blocks of food and nonfood images,17,,"counteractive control theory, self-control, self-regulation",No,Yes,Human,10.1016/j.bbr.2013.03.041,,"de Ridder, Denise"
ds000158,https://openneuro.org/datasets/ds000158/versions/00001,The human Voice Areas: spatial organisation and inter-individual variability in temporal and extra-temporal cortices,7/16/2018,7/16/2018,217,"MRI - anat, MRI - func",Healthy/Control,,passive listening,41,,auditory perception,No,Yes,Human,10.1016/j.neuroimage.2015.06.050,10.1109/TFUZZ.2019.2936807,"Pernet, Cyril"
ds000164,https://openneuro.org/datasets/ds000164/versions/00001,Stroop Task,7/17/2018,7/17/2018,28,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50",Stroop Task,,,decision making,No,Yes,Human,https://doi.org/10.1152/jn.00221.2014,https://www.researchgate.net/publication/333024558_Comparing_Alternative_Computational_Models_of_the_Stroop_Task_Using_Effective_Connectivity_Analysis_of_fMRI_Data,"Verstynen, Timothy D. "
ds000168,https://openneuro.org/datasets/ds000168/versions/1.0.0,Offline Processing in Associative Learning,7/17/2018,5/16/2019,35,"MRI - anat, MRI - func",Healthy/Control,18-25,Offline Processing,25,,Offline processing,No,Yes,Human,10.1371/journal.pone.0127522,,"Tarr, Michael J."
ds000170,https://openneuro.org/datasets/ds000170/versions/00001,Learning and memory: motor skill consolidation and intermanual transfer,7/17/2018,7/17/2018,15,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50","Trained Hand, Trained Sequence, Trained Hand, Untrained Sequence, Untrained Hand, Trained Sequence, Untrained Hand, Untrained Sequence",7,,motor mnemonic processes,No,Yes,Human,10.1162/jocn_a_0075,,"Karni, Avi"
ds000171,https://openneuro.org/datasets/ds000171/versions/00001,Neural Processing of Emotional Musical and Nonmusical Stimuli in Depression,7/17/2018,7/17/2018,39,"MRI - anat, MRI - func","Healthy/Control, major depressive disorder","18-25, 26-34, 35-50, 51-65","Music, Non-Music",18,,"depression, music, emotion",No,No,Human, https://doi.org/10.1371/journal.pone.0156859,"10.1016/j.cmpb.2019.07.004, 1909.03676v1","Savage,  Cary R. "
ds000172,https://openneuro.org/datasets/ds000172/versions/1.0.1,Physiological Contribution in Spontaneous Oscillations: An Approximate Quality - Assurance Index for Resting-State fMRI Signals,7/17/2018,5/16/2019,13,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",resting state,,,"Quality-Assurance,  Spontaneous Ocillations",No,Yes,Human,10.1371/journal.pone.0148393,,"Chen,  Jyh-Horng"
ds000174,https://openneuro.org/datasets/ds000174/versions/1.0.1,T1-weighted structural MRI study of cannabis users at baseline and 3 years follow up,7/16/2018,5/16/2019,42,MRI - anat,"Healthy/Control, long-term young adult heavy cannabis users","11-17, 18-25, 26-34",,,,"cannabis, grey matter",Yes,Yes,Human,10.1371/journal.pone.0152482,,"de Haan, Lieuwe"
ds000200,https://openneuro.org/datasets/ds000200/versions/00001,Pre-adolescents Exposure to Manganese,7/16/2018,7/16/2018,14,"MRI - anat, MRI - func","Healthy/Control, manganese contamination","11-17, 18-25",Olfactory,10,,"Manganese contamination, olfactory function",Yes,No,Human,10.1371/journal.pone.0144783,,"Lucchini,  Roberto G. "
ds000201,https://openneuro.org/datasets/ds000201/versions/1.0.2,The Stockholm Sleepy Brain Study: Effects of Sleep Deprivation on Cognitive and Emotional Processing in Young and Old,7/17/2018,4/24/2019,86,"MRI - anat, MRI - func, MRI - dwi, FieldMap, beh",Healthy/Control,,"arrows, Hands, Resting State, Sleepiness, PVT, Working Memory Test",,,"stress, sleep deprivation",Yes,Yes,Human,"http://www.stressforskning.su.se/polopoly_fs/1.238736.1433421769!/menu/standard/file/Sandra%20SSC%202014.pdf, 10.31234/osf.io/k6acx, 10.1038/s41598-020-74489-9",10.1371/journal.pone.0228473,"Åkerstedt, Torbjörn"
ds000202,https://openneuro.org/datasets/ds000202/versions/00001,The heterogeneity in retrieved relations between the personality trait 'Harm avoidance' and gray matter volumes due to variations in the VBM and ROI labeling processing settings,7/16/2018,7/16/2018,95,MRI - anat,Healthy/Control,"18-25, 26-34",,,,Harm Avoidance,No,No,Human,10.1371/journal.pone.0153865,,"De Mey, Johan"
ds000203,https://openneuro.org/datasets/ds000203/versions/00001,Visual imagery and false memory for pictures,7/16/2018,7/16/2018,26,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50, 51-65",Visual imagery false memory,90,,visual mental imagery ,No,Yes,Human,10.1371/journal.pone.0169551,,"Brébion, Gildas"
ds000204,https://openneuro.org/datasets/ds000204/versions/00002,Imaging [18F]AV-1451 and [18F]AV-45 in acute and chronic traumatic brain injury,7/19/2018,7/19/2018,1,"MRI - anat, MRI - func, PET",Acute and Chronic TBI,35-50,,,retired NFL player,Acute and Chronic TBI,Yes,No,Human,10.1038/tp.2016.175,,"Gandy, Sam"
ds000205,https://openneuro.org/datasets/ds000205/versions/00001,Affective Videos,7/17/2018,7/17/2018,11,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","functional localizer, passive viewing",,Participants viewed affect-eliciting audiovisual clips that varied on levels of valence and arousal,Affective,No,No,Human,10.1371/journal.pone.0161589,,"Shinkareva, Svetlana"
ds000206,https://openneuro.org/datasets/ds000206/versions/00002,DWI Traveling Human Phantom Study,7/17/2018,7/17/2018,6,"MRI - anat, MRI - dwi",Healthy/Control,,,,DWI Traveling Human Phantom Study,DWI Traveling Human Phantom Study,Yes,No,Human,10.1089/brain.2012.0112,1910.03866v1,"Paulsen, Jane"
ds000208,https://openneuro.org/datasets/ds000208/versions/1.0.0,Brain connectivity predicts placebo response across chronic pain clinical trials,7/15/2018,2/14/2019,76,"MRI - anat, MRI - func","Healthy/Control, Osteoarthritis","35-50, 51-65, 66+",rest,,,chronic pain,No,No,Human,10.1371/journal.pbio.1002570,arXiv:2004.06166,"Baliki, Marwan"
ds000210,https://openneuro.org/datasets/ds000210/versions/00002,"Multi-echo fMRI replication sample of autobiographical memory, prospection and theory of mind reasoning tasks",7/16/2018,7/16/2018,31,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","autobiographical memory, prospection, and theory of mind",30,replication study,Self-generated thought,No,No,Human,https://doi.org/10.1038/sdata.2016.116,,"Spreng, Nathan"
ds000212,https://openneuro.org/datasets/ds000212/versions/1.0.0,Moral judgments of intentional and accidental moral violations across Harm and Purity domains,7/17/2018,3/4/2019,39,"MRI - anat, MRI - func","Healthy/Control, Autism Spectrum Disorder","18-25, 26-34, 35-50","moral judgement, theory of mind, theory of mind localizer ",10,,moral judgements,No,Yes,Human,"10.1073/pnas.1207992110, 10.1093/scan/nsv131, 10.1016/j.neuroimage.2017.07.043",,"Young, Liane"
ds000213,https://openneuro.org/datasets/ds000213/versions/00002,Neural mechanism underlying appearance social comparison,7/17/2018,7/17/2018,26,"MRI - anat, MRI - func",Healthy/Control,18-25,social comparison,,viewing fat and thin female body images,body image processing,No,Yes,Human,10.1371/journal.pone.0164450,,"Chen, Hong"
ds000214,https://openneuro.org/datasets/ds000214/versions/00001,EUPD Cyberball,7/17/2018,7/17/2018,36,"MRI - anat, MRI - func","Healthy/Control, borderline personality disorder","18-25, 26-34, 35-50",Cyberball social exclusion,,,fear of abandonment and rejection,No,No,Human,10.12688/wellcomeopenres.10331.1,,"Hall, Jeremy"
ds000216,https://openneuro.org/datasets/ds000216/versions/00001,Multiband Multi-Echo Imaging of Simultaneous Oxygenation and Flow Timeseries for Resting State Connectivity,9/30/2019,9/30/2019,7,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50, 51-65",rest,,Method development,Method development,No,Yes,Human,10.1371/journal.pone.0169253,,"Wang, Yang"
ds000217,https://openneuro.org/datasets/ds000217/versions/00002,Route Learning,7/16/2018,7/16/2018,41,"MRI - anat, MRI - func, FieldMap, beh",Healthy/Control,"18-25, 26-34",route learning,,,"spatial navigation, episodic memory",No,No,Human,10.1016/j.cub.2017.06.057,,"Kuhl, Brice"
ds000218,https://openneuro.org/datasets/ds000218/versions/00002,Flavour Pleasantness (Oral Nutritional Supplements),7/16/2018,7/16/2018,19,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",Oral Nutritional Supplements flavor,60,,ventral emotion network,No,Yes,Human,10.1371/journal.pone.0170310,,"ter Horst, Gert"
ds000219,https://openneuro.org/datasets/ds000219/versions/00001,Flavour Pleasantness (Regular Products),7/16/2018,7/16/2018,21,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",flavor ,,,ventral emotion network,No,No,Human,10.1371/journal.pone.0170310,,"ter Horst, Gert"
ds000220,https://openneuro.org/datasets/ds000220/versions/1.0.0,Cost Analysis TBI,7/16/2018,2/14/2019,26,"MRI - anat, MRI - func","Healthy/Control, TBI","18-25, 26-34, 35-50",rest,,,TBI recovery,Yes,Yes,Human,10.1371/journal.pone.0170541,,"Hillary, Frank"
ds000221,https://openneuro.org/datasets/ds000221/versions/00002,MPI-Leipzig_Mind-Brain-Body,7/16/2018,7/17/2018,318,"MRI - anat, MRI - func, MRI - dwi, FieldMap",Healthy/Control,"18-25, 26-34, 51-65, 66+",rest,,,mind-body-emotion interactions,Yes,No,Human,10.1038/sdata.2018.308,10.1002/hbm.24938,"Villringer, Arno"
ds000222,https://openneuro.org/datasets/ds000222/versions/00001,Sequential Inference VBM,7/17/2018,7/17/2018,79,"MRI - anat, beh",Healthy/Control,"18-25, 26-34, 51-65, 66+",probabilistic reversal ,,,"sequential inference, bayesian filtering ",No,Yes,Human,10.1371/journal.pcbi.1005418,,"Dolan, Raymond"
ds000223,https://openneuro.org/datasets/ds000223/versions/00001,Magnitude Effect,7/17/2018,7/17/2018,19,"MRI - anat, MRI - func, FieldMap",Healthy/Control,,binary intertemporal choices,,,"self-control, decision making, delay gratification",No,Yes,Human,10.1177/0956797617711455,,"McClure, Samuel"
ds000224,https://openneuro.org/datasets/ds000224/versions/1.0.0,The Midnight Scan Club (MSC) dataset,7/17/2018,4/30/2019,10,"MRI - anat, MRI - func, FieldMap, Angiograms, Venograms",Healthy/Control,"18-25, 26-34","memoryfaces, glasslexical, memoryscenes, memorywords, rest, motor",,dense sampling of participants,precision functional mapping,Yes,Yes,Human,10.1016/j.neuron.2017.07.011,"10.1016/j.neuroimage.2019.07.003, 10.1073/pnas.1902932116, 10.1016/j.neuroimage.2019.116366, 10.1016/j.neuron.2019.11.012, 10.1016/j.neuroimage.2019.116290, 10.1016/j.isci.2019.100801, 10.1073/pnas.1910842117, 10.1073/pnas.2005238117, 10.1073/pnas.2003383117","Dosenbach, Nico"
ds000228,https://openneuro.org/datasets/ds000228/versions/1.1.0,MRI data of 3-12 year old children and adults during viewing of a short animated film,7/17/2018,5/15/2019,155,"MRI - anat, MRI - func",Healthy/Control,"0-10, 18-25, 26-34, 35-50",Pixar movie watching ,,"watching Disney Pixar's ""Party Cloudy""","social psychology, theory of mind",No,Yes,Human,"10.1038/s41467-018-03399-2, ","10.1016/j.jneumeth.2019.108453, https://arxiv.org/pdf/2006.07882.pdf, https://arxiv.org/pdf/2006.12839.pdf, https://bastian.rieck.me/research/ICML2020_CompBio_Workshop_TDA.pdf","Saxe, Rebecca"
ds000229,https://openneuro.org/datasets/ds000229/versions/00001,Integration of sweet taste and metabolism determines carbohydrate reward - study 1,7/17/2018,7/17/2018,15,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",flavor,,,"gut-brain axis, obesity",No,Yes,Human,10.1016/j.cub.2017.07.018,,"Small, Dana"
ds000231,https://openneuro.org/datasets/ds000231/versions/00002,Integration of sweet taste and metabolism determines carbohydrate reward-study 3,7/16/2018,7/16/2018,9,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34",flavor,,,"gut-brain axis, obesity ",No,Yes,Human,10.1016/j.cub.2017.07.018,,"Small, Dana"
ds000232,https://openneuro.org/datasets/ds000232,Adjudicating between face-coding models with individual-face fMRI responses,7/16/2018,7/16/2018,10,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34, 35-50","localizer, viewing faces",,,perceptual representation of faces,No,Yes,Human,10.1371/journal.pcbi.1005604,,"Kriegeskorte, Nikolaus"
ds000233,https://openneuro.org/datasets/ds000233/versions/00004,Neural responses to naturalistic clips of behaving animals in two different task contexts,7/17/2018,7/17/2018,12,"MRI - anat, MRI - func",Healthy/Control,"18-25, 26-34","behavior repetition, taxonomic repetition",,naturalistic clips,context differences,No,Yes,Human,"10.1093/cercor/bhx138, 10.3389/fnins.2018.00316",,"Haxby, James"
