,AccessionNumber,Dataset URL,Dataset name,ReleaseDate,Most recent snapshot date (MM/DD/YYYY),NSubjects,Modalities,DX status(es),Ages (range),Tasks completed?,# of trials (if applicable),Study design,Domain studied,Longitudinal?,Processed data?,Species,DOI of paper associated with DS (from submitter lab),DOI of paper because DS on OpenNeuro,"Senior Author (lab that collected data) Last, First"
11,ds000102,https://openneuro.org/datasets/ds000102/versions/00001,ds000102,10/14/2016,10/14/2016,26,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",Flanker,,,,No,No,,,,"MP, Milham"
12,ds000105,https://openneuro.org/datasets/ds000105/versions/3.0.0,Visual object recognition,10/14/2016,10/14/2016,6,"MRI - func, MRI - anat",,,object viewing,,,,No,No,,,,"Pietrini, P."
13,ds000107,https://openneuro.org/datasets/ds000107/versions/00001,Word and object processing,10/14/2016,10/14/2016,49,"MRI - func, MRI - anat",,,one-back task,,,,No,No,,,,"Devlin, J.T."
14,ds000109,https://openneuro.org/datasets/ds000109/versions/2.0.2,"Social cognitive tasks (animate movement task, moral judgment task, false belief task)",10/17/2016,10/17/2016,36,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65, 66+",theory of mind with manual response,,,,No,No,,,,"Mitchell, J.P."
15,ds000110,https://openneuro.org/datasets/ds000110/versions/00001,Incidental encoding task (Posner Cueing Paradigm),10/17/2016,10/17/2016,18,"MRI - func, MRI - anat",,"18-25, 26-34",Incidental encoding task using Posner cueing paradigm with object v greeble judgment,,,,No,No,,,,"Wagner, Anthony D."
16,ds000115,https://openneuro.org/datasets/ds000115/versions/00001,ds000115,10/25/2016,10/25/2016,99,"MRI - func, MRI - anat",,"11-17, 18-25, 26-34","letter 0-back task, letter 1-back task, letter 2-back task",,,,No,No,,,,"Barch, Deanna M."
17,ds000017,https://openneuro.org/datasets/ds000017/versions/00001,ds000017,11/7/2016,11/7/2016,8,"MRI - func, MRI - anat",,"18-25, 35-50","probabilistic classification, selective stop-signal task",,,,No,No,,,,"Poldrack, Russell A."
18,ds000122,https://openneuro.org/datasets/ds000122/versions/00001,ds000122,11/8/2016,11/8/2016,17,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",visual attention task,,,,No,No,,,,"Potenza, MN"
19,ds000148,https://openneuro.org/datasets/ds000148/versions/1.0.0,ds000148,11/8/2016,11/8/2016,49,"MRI - func, MRI - anat",,18-25,figure 2-back with 1-back lures,,,,No,No,,,,"Falkiewicz, Marcel"
20,ds000009,https://openneuro.org/datasets/ds000009/versions/00002,ds000009,12/15/2016,12/15/2016,24,"MRI - func, MRI - dwi, MRI - anat",,"18-25, 26-34","balloon analog risk task, discounting, emotional regulation, stop signal",,,,No,No,,,,"Poldrack, Russell"
21,ds001021,https://openneuro.org/datasets/ds001021/versions/1.0.0,NKI-sample,8/1/2017,8/1/2017,1,"MRI - func, MRI - dwi, MRI - anat",,51-65,"CHECKERBOARD_1400, BREATH_HOLD_1400, CHECKERBOARD_645, DMN_TRACKING_TEST, DMN_TRACKING_TRAIN, MORAL_DILEMMA, MASK, PEER1, MSIT, REST_645, PEER2, REST_CAP, REST_1400",,,,No,No,,,,"Castellanos, F. Xavier"
22,ds001037,https://openneuro.org/datasets/ds001037/versions/00001,The brain of Chris,8/26/2017,8/26/2017,1,MRI - anat,,,,,,,No,No,,,,"Gorgolewski, Chris"
23,ds001105,https://openneuro.org/datasets/ds001105/versions/00001,Social predictive coding,9/28/2017,9/28/2017,28,"MRI - func, MRI - anat",,,mentalstates,,,,No,No,,,,"Tamir, Diana I."
24,ds001107,https://openneuro.org/datasets/ds001107/versions/00001,ds001107,10/3/2017,10/3/2017,0,,,,,,,,No,No,,,,
25,ds001110,https://openneuro.org/datasets/ds001110/versions/00003,Sherlock_Merlin,10/13/2017,10/13/2017,37,"MRI - func, MRI - anat",,,"Merlin Audio, Merlin Movie, Merlin free recall, Sherlock free recall, Sherlock Audio, Sherlock Movie",,,,No,No,,,,"Zadbood, A., Chen, J., Leong, Y.C., Norman, K.A., & Hasson, U."
26,ds001131,https://openneuro.org/datasets/ds001131/versions/1.0.0,Milky-Vodka,10/30/2017,10/30/2017,54,"MRI - func, MRI - anat",,"18-25, 26-34","Scrambled, Milky, Synonyms, Vodka",,,,No,No,,,,"Hasson, U."
27,ds001132,https://openneuro.org/datasets/ds001132/versions/1.0.0,sherlock,10/30/2017,10/30/2017,16,"MRI - func, MRI - anat",,,"free recall, part 1 of Sherlock episode, part 2 of Sherlock episode",,,,No,No,,,,"Chen, J., Leong, Y.C., Honey, C.J., Yong C.H., Norman, K.A., & Hasson, U."
28,ds001145,https://openneuro.org/datasets/ds001145/versions/1.0.0,Twilight Zone Movie Watching Dataset,11/8/2017,11/8/2017,24,"MRI - func, MRI - anat",,,Watch movie,,,,No,No,,,,"Hasson, U."
29,ds001168,https://openneuro.org/datasets/ds001168/versions/1.0.1,7T resting state test-retest,11/30/2017,11/30/2017,22,"MRI - func, MRI - anat",,,Rest,,,,No,No,,,,"Margulies, Daniel S."
30,ds001178,https://openneuro.org/datasets/ds001178/versions/00002,Example MR artifacts,12/7/2017,12/7/2017,23,"MRI - func, MRI - anat",,,"rest, unknown, uknown, balloon analog risk task, Unknown, machinegame",,,,No,No,,,,"Gorgolewski, Krzysztof J."
31,ds001218,https://openneuro.org/datasets/ds001218/versions/00001,State representation pictures,2/2/2018,2/2/2018,30,"MRI - func, MRI - anat",,,mentalstatepictures,,,,No,No,,,,"Tamir, Diana"
32,ds001226,https://openneuro.org/datasets/ds001226/versions/5.0.0,BTC_preop,2/12/2018,2/12/2018,36,"MRI - dwi, MRI - anat, MRI - func",,,rest,,,,No,No,,,,"Marinazzo, D"
33,ds001228,https://openneuro.org/datasets/ds001228/versions/00002,Decoding intentions of self and others,2/12/2018,2/12/2018,24,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",collaborative task,,,,No,No,,,,"Fung, Hoki"
34,ds001229,https://openneuro.org/datasets/ds001229/versions/1.0.1,Prospective Remembering,2/12/2018,2/12/2018,27,"MRI - func, MRI - anat",,"18-25, 26-34","Episodic Memory, Working Memory",,,,No,No,,,,"Lewis-Peacock, J.A., Cohen, J.D., & Norman, K.A."
35,ds001232,https://openneuro.org/datasets/ds001232/versions/1.0.0,Competition between items in working memory leads to forgetting,2/15/2018,2/15/2018,21,"MRI - func, MRI - anat",,"18-25, 26-34","Phase 1, Phase 2",,,,No,No,,,,"Norman, K.A."
36,ds001233,https://openneuro.org/datasets/ds001233/versions/00003,singleFingerRSA,2/16/2018,2/16/2018,18,"MRI - func, MRI - anat",,,cuedSFM,,,,No,No,,,,"Verstynen, Timothy"
37,ds001235,https://openneuro.org/datasets/ds001235/versions/00001,Human-Object Interaction,2/19/2018,2/19/2018,12,"MRI - func, MRI - anat",,,1back,,,,No,No,,,,"Fei-Fei, Li"
38,ds001241,https://openneuro.org/datasets/ds001241/versions/1.0.1,,2/23/2018,2/23/2018,24,"MRI - func, MRI - anat",,"18-25, 26-34",learn,,,,No,No,,,,"Dux, Paul E."
39,ds001242,https://openneuro.org/datasets/ds001242/versions/1.0.0,Examining effects of arousal on responses to salient and non-salient stimuli in younger and older adults,2/24/2018,2/24/2018,52,"MRI - func, MRI - dwi, MRI - anat",,,"PPA functional Localizer, Spatial Detection, Fear Learning",,,,No,No,,,,"Mather, Mara"
40,ds001246,https://openneuro.org/datasets/ds001246/versions/1.2.1,Generic Object Decoding,3/1/2018,3/1/2018,5,"MRI - func, MRI - anat",,,"imagery, perception",,,,No,No,,,,"Kamitani, Yukiyasu"
41,ds001247,https://openneuro.org/datasets/ds001247/versions/00001,sports_betting_study,3/2/2018,3/2/2018,43,"MRI - func, MRI - anat",,,cueexposure,,,,No,No,,,,"Baeken, Chris"
42,ds001293,https://openneuro.org/datasets/ds001293/versions/00002,ds113c_R1.0.0,3/20/2018,3/20/2018,7,MRI - func,,,coverage,,,,No,No,,,,"Sengupta, Ayan"
43,ds001297,https://openneuro.org/datasets/ds001297/versions/00001,Personally familiar faces,3/21/2018,3/21/2018,33,"MRI - func, MRI - anat",,"18-25, 26-34",face identity oddball,,,,No,No,,,,"Gobbini, M. Ida"
44,ds001299,https://openneuro.org/datasets/ds001299/versions/1.0.0,NumberlineMarking,3/23/2018,3/23/2018,19,"MRI - func, MRI - anat",,,task-numbers,,,,No,No,,,,"McClelland, James L."
45,ds001302,https://openneuro.org/datasets/ds001302/versions/1.0.1,Inverse Base Rate,3/23/2018,3/23/2018,23,"MRI - func, MRI - anat",,,,,,,No,No,,,,"Davis, Tyler"
46,ds000208,https://openneuro.org/datasets/ds000208/versions/1.0.1,ds000208_R1.0.0,9/12/2017,9/12/2017,76,"MRI - anat, MRI - func",,,rest,,,,No,No,,,,"MN, Baliki"
47,ds000133,https://openneuro.org/datasets/ds000133/versions/00001,Modafinil alters intrinsic functional connectivity of the right posterior insula: a pharmacological resting state fMRI study,8/22/2017,8/22/2017,26,"MRI - func, MRI - anat",,,Resting State,,,,No,No,,,,"Sensi, Stefano L."
48,ds000210,https://openneuro.org/datasets/ds000210/versions/00002,ds000210_R1.0.1,3/27/2018,3/27/2018,31,"MRI - func, MRI - anat",,"18-25, 26-34","cuedSGT, rest",,,,No,No,,,,"Spreng, R. Nathan"
49,ds000217,https://openneuro.org/datasets/ds000217/versions/1.0.0,ds000217_R1.0.1,3/27/2018,3/27/2018,41,"MRI - func, MRI - anat",,"18-25, 26-34","localizer, route learning, picture test",,,,No,No,,,,"Kuhl, Brice A"
50,ds000241,https://openneuro.org/datasets/ds000241/versions/00002,ds000241_R1.0.0,3/29/2018,3/29/2018,12,"MRI - func, MRI - anat",,,ak6,,,,No,No,,,,"Haxby, James V."
51,ds000248,https://openneuro.org/datasets/ds000248/versions/1.2.4,ds000248,3/30/2018,3/30/2018,1,"MRI - anat, MEG",,,"audiovisual, noise",,,,No,No,,,,"Hämäläinen, Matti S"
52,ds000138,https://openneuro.org/datasets/ds000138/versions/00002,ds000138_R2.0.0,3/26/2018,3/26/2018,16,MRI - func,,"18-25, 26-34, 35-50","post heat stimulation, pre heat stimulation",,,,No,No,,,,"J, Gierthmuhlen"
53,ds000232,https://openneuro.org/datasets/ds000232/versions/00001,Adjudicating between face-coding models with individual-face fMRI responses,9/23/2017,9/23/2017,10,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","localizer, main",,,,No,No,,,,"Kriegeskorte, Nikolaus"
54,ds000256,https://openneuro.org/datasets/ds000256/versions/00002,ds000256_R1.0.0,3/29/2018,3/29/2018,24,"MRI - func, MRI - anat",,"0-10, 11-17","restbaseline, restfixationadaptive, restfixationfixed, restmovieadaptive, restmoviefixed, restfixationnofeedback, restmovienofeedback",,,,No,No,,,,"Dosenbach, Nico U.F."
55,ds000236,https://openneuro.org/datasets/ds000236/versions/2.0.1,ds000236,3/13/2018,3/13/2018,18,MRI - anat,,"51-65, 66+",,,,,No,No,,,,"Detre, John A."
56,ds000174,https://openneuro.org/datasets/ds000174/versions/1.0.1,T1-weighted structural MRI study of cannabis users at baseline and 3 years follow up,8/28/2017,8/28/2017,42,MRI - anat,,,,,,,No,No,,,,"Haan, Lieuwe de"
57,ds000116,https://openneuro.org/datasets/ds000116/versions/00003,Auditory and Visual Oddball EEG-fMRI,7/25/2017,7/25/2017,17,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","auditory oddball with button response to target stimuli, visual oddball with button response to target stimuli",,,,No,No,,,,"Sajda, Paul"
58,ds000203,https://openneuro.org/datasets/ds000203/versions/00001,Visual imagery and false memory for pictures,9/4/2017,9/4/2017,26,"MRI - func, MRI - anat",,,Visual imagery false memory,,,,No,No,,,,"Brébion, Gildas"
59,ds000255,https://openneuro.org/datasets/ds000255/versions/00002,ds000255_R1.0.0,3/29/2018,3/29/2018,2,"MRI - func, MRI - anat",,,"viewFigure, viewRandom",,,,No,No,,,,"Kamitani, Yukiyasu"
60,ds000157,https://openneuro.org/datasets/ds000157/versions/00001,Block design food and nonfood picture viewing task,2/12/2018,2/12/2018,30,"MRI - func, MRI - anat",,"18-25, 26-34",Passive viewing task with blocks of food and nonfood images,,,,No,No,,,,"Ridder, D. T. D. de"
61,ds000117,https://openneuro.org/datasets/ds000117/versions/1.0.6,"Multisubject, multimodal face processing",3/30/2018,3/30/2018,16,"MRI - func, MRI - dwi, MRI - anat, MEG",,"18-25, 26-34",facerecognition,,,,No,Yes,,,,"Henson, RN"
62,ds000216,https://openneuro.org/datasets/ds000216/versions/00001,Multiband Multi-Echo Imaging of Simultaneous Oxygenation and Flow Timeseries for Resting State Connectivity,9/30/2019,9/30/2019,7,"MRI - func, MRI - anat",Healthy / Control,,rest,,Sequence development,Sequence development,No,No,Human,10.1371/journal.pone.0169253,,"Wang, Yang"
63,ds000202,https://openneuro.org/datasets/ds000202/versions/00001,The heterogeneity in retrieved relations between the personality trait 'Harm avoidance' and gray matter volumes due to variations in the VBM and ROI labeling processing settings,9/4/2017,9/4/2017,95,MRI - anat,,,,,,,No,No,,,,"Mey, Johan De"
64,ds000249,https://openneuro.org/datasets/ds000249/versions/00002,ds000249_R1.0.0,4/4/2018,4/4/2018,26,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",genInstrAv,,,,No,No,,,,"Seymour, Ben"
65,ds000240,https://openneuro.org/datasets/ds000240/versions/2.0.0,ds000240_R1.0.0,3/29/2018,3/29/2018,63,"MRI - perf, MRI - anat",,,,,,,No,No,,,,"PhD, Maria A. Fernandez-Seara"
66,ds000258,https://openneuro.org/datasets/ds000258/versions/1.0.1,ds000258_R1.0.0,3/29/2018,3/29/2018,89,"MRI - func, MRI - anat",,,"rest, Resting state",,,,No,No,,,,"Martin, Alex"
67,ds000231,https://openneuro.org/datasets/ds000231/versions/1.0.0,ds000231,1/6/2021,1/6/2021,9,"MRI - func, MRI - anat",,"18-25, 26-34",flavor,18,interleaved event-related,Flavor-nutrient conditioning,Yes,No,Human,https://doi.org/10.1016/j.cub.2017.07.018,,"Small, Dana"
68,ds000235,https://openneuro.org/datasets/ds000235/versions/2.0.1,ds000235,3/13/2018,3/13/2018,4,MRI - anat,,"18-25, 26-34, 51-65",,,,,No,No,,,,"Detre, John A."
69,ds000219,https://openneuro.org/datasets/ds000219/versions/00001,Flavour Pleasantness (Regular Products),3/5/2018,3/5/2018,21,"MRI - func, MRI - anat",,"18-25, 26-34",RP flavour task,,,,No,No,,,,"Horst, Gert J. ter"
70,ds000119,https://openneuro.org/datasets/ds000119/versions/00001,Maturational Changes in Anterior Cingulate and Frontoparietal Recruitment Support the Development of Error Processing and Inhibitory Control (Antistate),8/22/2017,8/22/2017,73,"MRI - func, MRI - anat",,,"visual guided saccade (vgs, aka ProSaccade) and antisaccace (anti) task",,,,No,No,,,,"Luna, Beatriz"
71,ds000200,https://openneuro.org/datasets/ds000200/versions/00001,Pre-adolescents Exposure to Manganese,8/29/2017,8/29/2017,14,"MRI - func, MRI - anat",,"11-17, 18-25",Olfactory,,,,No,No,,,,"Iannilli, Emilia"
72,ds000218,https://openneuro.org/datasets/ds000218/versions/00002,ds000218,3/8/2018,3/8/2018,19,"MRI - func, MRI - anat",,"18-25, 26-34",ONS flavour task,,,,No,No,,,,"Horst, Gert J. ter"
73,ds000121,https://openneuro.org/datasets/ds000121/versions/00001,Immaturities in Reward Processing and Its Influence on Inhibitory Control in Adolescence (Ring Reward),2/6/2018,2/6/2018,28,"MRI - func, MRI - anat",,,AntiSaccade (AS) Rewarded & Neutral with varying dot position,,,,No,No,,,,"Luna, B."
74,ds000234,https://openneuro.org/datasets/ds000234/versions/00002,ds000234,3/13/2018,3/13/2018,5,MRI - anat,,"26-34, 35-50, 51-65",,,,,No,No,,,,"Detre, John A."
75,ds000158,https://openneuro.org/datasets/ds000158/versions/1.0.0,The human Voice Areas: spatial organisation and inter-individual variability in temporal and extra-temporal cortices,8/23/2017,8/23/2017,217,"MRI - anat, MRI - func",,,passive listening,,,,No,No,,,,"Fleming, D"
76,ds000221,https://openneuro.org/datasets/ds000221/versions/1.0.0,ds000221_R1.0.0,3/23/2018,3/23/2018,318,"MRI - func, MRI - anat, MRI - dwi",,,Rest,,,,No,No,,,,"Villringer, Arno"
77,ds000144,https://openneuro.org/datasets/ds000144/versions/00002,ds000144_R1.0.0,3/26/2018,3/26/2018,45,"MRI - func, MRI - anat",,,emotional faces,,,,No,No,,,,"Egger, Helen L."
78,ds000120,https://openneuro.org/datasets/ds000120/versions/00001,Developmental changes in brain function underlying the influence of reward processing on inhibitory control (Slot Reward),2/6/2018,2/6/2018,26,"MRI - func, MRI - anat",,"0-10, 11-17, 18-25",antisaccade task with fixed order,,,,No,No,,,,"Luna, Beatriz"
79,ds000168,https://openneuro.org/datasets/ds000168/versions/1.0.0,Offline Processing in Associative Learning,2/6/2018,2/6/2018,35,"MRI - func, MRI - anat",,18-25,OP,,,,No,No,,,,"Creswell, J. David"
80,ds000053,https://openneuro.org/datasets/ds000053/versions/00001,Training of loss aversion modulates neural sensitivity toward potential gains,9/26/2017,9/26/2017,59,"MRI - func, MRI - anat",,"18-25, 26-34","Baseline, Post-test, Training",,,,No,No,,,,"Poldrack, Russell A."
81,ds000237,https://openneuro.org/datasets/ds000237/versions/1.0.0,Phonological memory in sign language relies on the visuomotor neural system outside the left hemisphere language network,9/24/2017,9/24/2017,13,"MRI - func, MRI - anat",,,MemorySpan,,,,No,No,,,,"Omori, Koichi"
82,ds000205,https://openneuro.org/datasets/ds000205/versions/00001,Affective Videos,9/4/2017,9/4/2017,11,"MRI - func, MRI - anat",,,"Functional localizer, Passive Viewing",,,,No,No,,,,"Wedell, Douglas H."
83,ds000223,https://openneuro.org/datasets/ds000223/versions/00001,Magnitude Effect,9/19/2017,9/19/2017,19,"MRI - func, MRI - anat",,,mag,,,,No,No,,,,"McClure, Samuel M."
84,ds000245,https://openneuro.org/datasets/ds000245/versions/00001,ds000245_R1.0.0,3/29/2018,3/29/2018,45,"MRI - anat, MRI - func",,,rest,,,,No,No,,,,"Sobue, Gen"
85,ds000164,https://openneuro.org/datasets/ds000164/versions/00001,Stroop Task,8/24/2017,8/24/2017,28,"MRI - func, MRI - anat",,,Stroop Task,,,,No,No,,,,"Verstynen, Timothy D."
86,ds000222,https://openneuro.org/datasets/ds000222/versions/1.0.1,Sequential Inference VBM,2/28/2018,2/28/2018,79,MRI - anat,,"18-25, 26-34, 51-65, 66+",,,,,No,No,,,,"Dolan, Raymond J"
87,ds000229,https://openneuro.org/datasets/ds000229/versions/00001, Integration of sweet taste and metabolism determines carbohydrate reward - study 1,1/5/2021,1/5/2021,15,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",flavor,18,interleaved event-related,Flavor-nutrient conditioning,Yes,No,Human,https://doi.org/10.1016/j.cub.2017.07.018,,"Small, Dana"
88,ds000171,https://openneuro.org/datasets/ds000171/versions/00001,Neural Processing of Emotional Musical and Nonmusical Stimuli in Depression,8/28/2017,8/28/2017,39,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65","Non-Music, Music",,,,No,No,,,,"Savage, Cary R."
89,ds000224,https://openneuro.org/datasets/ds000224/versions/1.0.4,The Midnight Scan Club (MSC) dataset,9/20/2017,9/20/2017,10,"MRI - func, MRI - anat",,"18-25, 26-34","glasslexical, memoryfaces, memoryscenes, memorywords, motor, rest",,,,No,No,,,,"Dosenbach, Nico U.F."
90,ds000254,https://openneuro.org/datasets/ds000254/versions/1.0.0,ds000254_R1.0.0,3/29/2018,3/29/2018,13,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",bilateralfingertapping,,,,No,No,,,,"Wang, Yang"
91,ds000238,https://openneuro.org/datasets/ds000238/versions/00002,ds000238_R1.0.1,3/28/2018,3/28/2018,35,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","Slow12, Med8, Slow10, Quick6, Quick4n",,,,No,No,,,,"Adke, A."
92,ds000172,https://openneuro.org/datasets/ds000172/versions/1.0.1,,3/7/2018,3/7/2018,13,"MRI - func, MRI - anat",,,Resting State,,,,No,No,,,,"JH, Chen"
93,ds000214,https://openneuro.org/datasets/ds000214/versions/00001,EUPD Cyberball,9/12/2017,9/12/2017,36,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65",Cyberball,,,,No,No,,,,"Romaniuk, Liana"
94,ds000206,https://openneuro.org/datasets/ds000206/versions/1.0.0,ds000206,3/9/2018,3/9/2018,6,"MRI - dwi, MRI - anat",,,,,,,No,No,,,,"Paulsen, Jane S."
95,ds000233,https://openneuro.org/datasets/ds000233/versions/1.0.1,Neural responses to naturalistic clips of behaving animals in two different task contexts,9/23/2017,9/23/2017,12,"MRI - func, MRI - anat",,"18-25, 26-34","beh, tax",,,,No,No,,,,"Haxby, James V."
96,ds000220,https://openneuro.org/datasets/ds000220/versions/1.0.0,Cost Analysis TBI,9/18/2017,9/18/2017,26,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50, 51-65",rest,,,,No,No,,,,"Hillary, F.G."
97,ds000243,https://openneuro.org/datasets/ds000243/versions/00001,Washington University 120,9/24/2017,9/24/2017,120,"MRI - func, MRI - anat",,,rest,,,,No,No,,,,"Power, Jonathan"
98,ds000170,https://openneuro.org/datasets/ds000170/versions/00001,Learning and memory: motor skill consolidation and intermanual transfer,8/24/2017,8/24/2017,15,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","Trained Hand, Trained Sequence, Trained Hand, Untrained Sequence, Untrained Hand, Trained Sequence, Untrained Hand, Untrained Sequence",,,,No,No,,,,"Karni, Avi"
99,ds000201,https://openneuro.org/datasets/ds000201/versions/1.0.3,ds000201_R1.0.5,3/14/2018,3/14/2018,86,"MRI - func, MRI - anat, MRI - dwi",,,"Arrows, Faces, Hands, Resting State, Sleepiness, PVT, Working Memory Test",,,,No,Yes,,,,"Åkerstedt, Torbjörn"
100,ds000246,https://openneuro.org/datasets/ds000246/versions/1.0.1,MEG-BIDS Brainstorm data sample,3/30/2018,3/30/2018,1,"MRI - anat, MEG",,18-25,"AEF, noise",,,,No,No,,,,"Baillet, Sylvain"
101,ds000228,https://openneuro.org/datasets/ds000228/versions/1.1.1,MRI data of 3-12 year old children and adults during viewing of a short animated film,9/21/2017,9/21/2017,155,"MRI - anat, MRI - func",,,pixar,,,,No,Yes,,,,"Saxe, Rebecca"
102,ds000253,https://openneuro.org/datasets/ds000253/versions/00002,ds000253_R1.0.0,3/29/2018,3/29/2018,20,"MRI - func, MRI - anat",,,"Localizer, Experimental Run 1, Experimental Run 3, Experimental Run 4, Experimental Run 2",,,,No,No,,,,"Sergio, Lauren"
103,ds000030,https://openneuro.org/datasets/ds000030/versions/1.0.0,ds000030_R1.0.5,3/19/2018,3/19/2018,272,"MRI - func, MRI - dwi, MRI - anat",,"18-25, 26-34, 35-50","rest, scap, stopsignal, bart, taskswitch, bht, pamenc, pamret",,,,No,No,,,,"Sabb, F"
104,ds000212,https://openneuro.org/datasets/ds000212/versions/1.0.0,ds000212,3/14/2018,3/14/2018,39,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","dis, fb, tom, tomloc",,,,No,No,,,,"Koster-Hale, Jorie"
105,ds000213,https://openneuro.org/datasets/ds000213/versions/00002,ds000213_R1.0.2,3/14/2018,3/14/2018,26,"MRI - anat, MRI - func",,,social comparison,,,,No,No,,,,"Chen, Hong"
106,ds000239,https://openneuro.org/datasets/ds000239/versions/00001,Maclaren test-retest brain volume dataset,9/25/2017,9/25/2017,3,MRI - anat,,26-34,,,,,No,No,,,,"Bammer, Roland"
107,ds000247,https://openneuro.org/datasets/ds000247/versions/1.0.2,OMEGA_RestingState_sample,3/30/2018,3/30/2018,5,"MRI - anat, MEG",Healthy / Control,"18-25, 26-34, 35-50","rest, noise",,,,No,Yes,Human,https://doi.org/10.1016/j.neuroimage.2015.04.028,,"Baillet, Sylvain"
108,ds001338,https://openneuro.org/datasets/ds001338/versions/1.0.0,ParanoiaStory,4/19/2018,4/19/2018,22,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","story2, story1, story3",,,,No,No,,,,"Constable, R.T."
109,ds001339,https://openneuro.org/datasets/ds001339/versions/00003,SocialBrain,4/20/2018,4/20/2018,14,"MRI - func, MRI - anat",,,iaps,,,,No,No,,,,"Taylor, Stephan F."
110,ds001344,https://openneuro.org/datasets/ds001344/versions/1.0.0,phfMRI_Control_Tasks,4/27/2018,4/27/2018,15,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","Eye Movemement Variant, Working Memory Variant, Eye Movement Variant",,,,No,No,,,,"Wall, Matthew B."
111,ds001345,https://openneuro.org/datasets/ds001345/versions/1.0.0,Audio-Visual Memory in the Context of Multisensory Integration,11/29/2019,11/29/2019,12,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34",Audio-Visual Memory,4,,Multisensory Integration,No,No,Human,,,"Murray, Micah M"
