"Title","Investigator","Institute","Fiscal Year","FOA Number","Funded Status","Project Number","Priority Area","Application ID"
"NWB:N: A Data Standard and Software Ecosystem for Neurophysiology","Ng, Lydia Lup-ming Ruebel, Oliver  (contact)","University Of Calif-lawrenc Berkeley Lab","2018","RFA-MH-17-256","Active","1R24MH116922-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9582696"
"Data-driven analysis for neuronal dynamic modeling","Mishne, Gal","Yale University","2018","RFA-EB-17-005","Active","1R01EB026936-01","Integrated ApproachesTheory & Data Analysis Tools","9615161"
"Breaking Spatiotemporal Barriers of MR Imaging Technologies to Study Human Brain Function and Neuroenergetics","Chen, Wei  (contact) Zhu, Xiao-hong","University Of Minnesota","2018","RFA-EB-17-004","Active","1U01EB026978-01","Human NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural Activity","9617144"
"Unraveling constraints on motor cortical activity exploration and shaping during structural skill learning using large-scale 2-photon imaging and holographic optogenetic stimulation","Athalye, Vivek","Columbia University Health Sciences","2018","RFA-MH-18-510","Active","1F32MH118714-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9668706"
"Optimizing noninvasive modulation of prediction and episodic memory networks via cerebellar stimulation","Dave, Shruti","Northwestern University At Chicago","2018","RFA-MH-18-510","Active","1F32MH118718-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9668733"
"Human Agency and Brain-Computer Interfaces: Understanding users? experiences and developing a tool for improved consent","Goering, Sara  (contact) Klein, Eran","University Of Washington","2018","RFA-MH-18-500","Active","1RF1MH117800-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9608198"
"Coarse-graining approaches to networks, learning, and behavior","Bialek, William Palmer, Stephanie E (contact) Schwab, David Jason","University Of Chicago","2018","RFA-EB-17-005","Active","1R01EB026943-01","Integrated ApproachesTheory & Data Analysis Tools","9615321"
"Informing Choice for Neurotechnological Innovation in Pediatric Epilepsy Surgery","Illes, Judy  (contact) Mcdonald, Patrick","University Of British Columbia","2018","RFA-MH-18-500","Active","1RF1MH117805-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9609279"
"Mental, measurement, and model complexity in neuroscience","Balasubramanian, Vijay Gold, Joshua I (contact)","University Of Pennsylvania","2018","RFA-EB-17-005","Active","1R01EB026945-01","Integrated ApproachesTheory & Data Analysis Tools","9615324"
"The Brainstorm Project: A Collaborative Approach to Facilitating the Neuroethics of Bioengineered Brain Modeling Research","Hyun, Insoo","Case Western Reserve University","2018","RFA-MH-18-500","Active","1RF1MH117803-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9608882"
"Building analysis tools and a theory framework for inferring principles of neural computation from multi-scale organization in brain recordings","Sommer, Friedrich T","University Of California Berkeley","2018","RFA-EB-17-005","Active","1R01EB026955-01","Integrated ApproachesTheory & Data Analysis Tools","9615743"
"Next-generation optical brain functional imaging platform","Fang, Qianqian","Northeastern University","2018","RFA-EB-17-003","Active","1R01EB026998-01","Human NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural Activity","9617549"
"Designing low-cost, customizable high-density probes for acute and chronic neural recordings in rodents","Van Welie, Ingrid","Neural Dynamics Technologies, Llc","2018","PAR-15-091","Active","1R43MH118155-01","Circuit DiagramsInterventional ToolsMonitor Neural Activity","9622923"
"Toward 3D human brain-like tissues for targeting dysregulated synapse and proteostasis mechanisms in autism spectrum disorder","Erndt-marino, Joshua Dean","Tufts University Medford","2018","RFA-MH-18-510","Active","1F32MH118678-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9666049"
"From Electron Microscopy to Neural Circuit Hypotheses: Bridging the Gap","Fee, Michale S","Massachusetts Institute Of Technology","2018","RFA-MH-18-505","Active","1RF1MH117809-01","Cell Type","9609873"
"A high-performance unshielded wearable brain-computer interface based on microfabricated total-field OPMs","Contreras-vidal, Jose Luis (contact) Knappe, Svenja","University Of Houston","2018","RFA-EB-17-003","Active","1R01EB027004-01","Human NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural Activity","9617587"
"Mapping neurotransmitter receptors onto the connectome","Zipursky, S. Lawrence","University Of California Los Angeles","2018","RFA-MH-18-505","Active","1RF1MH117823-01","Cell Type","9610513"
"Causally linking dendritic Ca2+ dynamics to CA1 circuit function and spatial learning using novel tools to precisely manipulate an endogenous Ca2+ buffering process","O'hare, Justin","Columbia University Health Sciences","2018","RFA-MH-18-510","Active","1F32MH118716-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9668711"
"Connectome 2.0: Developing the next generation human MRI scanner for bridging studies of the micro-, meso- and macro-connectome","Basser, Peter J. Huang, Susie Yi Rosen, Bruce R (contact) Wald, Lawrence L Witzel, Thomas","Massachusetts General Hospital","2018","RFA-EB-17-004","Active","1U01EB026996-01","Human NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural Activity","9617538"
"Measuring, Modeling, and Modulating Cross-Frequency Coupling","Eden, Uri Tzvi Kramer, Mark Alan (contact)","Boston University (charles River Campus)","2018","RFA-EB-17-005","Active","1R01EB026938-01","Integrated ApproachesTheory & Data Analysis Tools","9615216"
"Discovering dynamic computations from large-scale neural activity recordings","Engel, Tatiana","Cold Spring Harbor Laboratory","2018","RFA-EB-17-005","Active","1R01EB026949-01","Integrated ApproachesTheory & Data Analysis Tools","9615376"
"Is the Treatment Perceived to be Worse than the Disease?: Ethical Concerns and Attitudes towards Psychiatric Electroceutical Interventions","Cabrera Trujillo, Laura Yenisa","Michigan State University","2018","RFA-MH-18-500","Active","1RF1MH117802-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9608514"
"Mechanistic and causal basis of fMRI functional connectivity in non-human primates","Rudebeck, Peter  (contact) Russ, Brian E","Icahn School Of Medicine At Mount Sinai","2018","RFA-MH-17-235","Active","1RF1MH117040-01","Human NeuroscienceIntegrated ApproachesMonitor Neural Activity","9584431"
"Models and Methods for Calcium Imaging Data with Application to the Allen Brain Observatory","Buice, Michael Witten, Daniela  (contact)","University Of Washington","2018","RFA-EB-17-005","Active","1R01EB026908-01","Integrated ApproachesTheory & Data Analysis Tools","9613522"
"Early Feasibility Clinical Trial of a Visual Cortical Prosthesis","Dorn, Jessy D (contact) Greenberg, Robert Jay Pouratian, Nader","Second Sight Medical Products, Inc.","2018","RFA-NS-17-006","Active","1UH3NS103442-01","Human NeuroscienceInterventional ToolsMonitor Neural Activity","9403181"
"DART2.0: comprehensive cell type-specific behavioral neuropharmacology","Tadross, Michael R","Duke University","2018","RFA-MH-17-220","Active","1RF1MH117055-01","Cell TypeCircuit DiagramsInterventional ToolsMonitor Neural Activity","9584694"
"Spatiotemporal Coding in the Pain Circuit Along the Spine-brain Continuum","Borton, David Allenson Saab, Carl Y (contact)","Rhode Island Hospital","2018","RFA-NS-18-009","Active","1R01NS108414-01","Integrated Approaches","9610274"
"Computational and Circuit Mechanisms Underlying Rapid Learning","Buffalo, Elizabeth A","University Of Washington","2018","RFA-NS-17-018","Active","1U19NS107609-01","Integrated Approaches","9587659"
"Readout and control of spatiotemporal neuronal codes for behavior","Babadi, Behtash Chialvo, Dante R Fellin, Tommaso Histed, Mark H Kanold, Patrick O Losert, Wolfgang Maunsell, John Hr (contact) Panzeri, Stefano Vt Plenz, Dietmar Rinberg, Dmitry Shoham, Shy","University Of Chicago","2018","RFA-NS-17-018","Active","1U19NS107464-01","Integrated Approaches","9584272"
"New tools to target, identify and characterize astrocytes in the adult nervous system","Gradinaru, Viviana Khakh, Baljit  (contact)","University Of California Los Angeles","2018","RFA-DA-18-018","Active","1R01DA047444-01","Cell TypeCircuit DiagramsInterventional ToolsMonitor Neural Activity","9649057"
"Oxytocin Modulation of Neural Circuit Function and Behavior","Tsien, Richard W","New York University School Of Medicine","2018","RFA-NS-17-018","Active","1U19NS107616-01","Integrated Approaches","9588155"
"Studying perceptual decision-making across cortex by combining population imaging, connectomics, and computational modeling","Harvey, Christopher D (contact) Lee, Wei-chung Allen Panzeri, Stefano Vt","Harvard Medical School","2018","RFA-NS-18-009","Active","1R01NS108410-01","Integrated Approaches","9610012"
"Neural sequences for planning and production of learned vocalizations","Cooper, Brenton G. Hahnloser, Richard Roberts, Todd F (contact)","Ut Southwestern Medical Center","2018","RFA-NS-18-009","Active","1R01NS108424-01","Integrated Approaches","9610987"
"Data interface and apps for systems neurophysiology and imaging","Van Hooser, Stephen D","Brandeis University","2018","RFA-MH-17-256","Active","1R24MH114678-01A1","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9581791"
"Understanding V1 circuit dynamics and computations","Miller, Kenneth D (contact) Scanziani, Massimo","Columbia University Health Sciences","2018","RFA-NS-17-018","Active","1U19NS107613-01","Integrated Approaches","9588053"
"Reverse Engineering the Brain Stem Circuits that Govern Exploratory Behavior","Deschenes, Martin Freund, Yoav Shai Golomb, David Kleinfeld, David  (contact) Mitra, Partha Pratim Wang, Fan","University Of California, San Diego","2018","RFA-NS-17-018","Active","1U19NS107466-01","Integrated Approaches","9584824"
"The Neuronal Underpinnings of Non-invasive Laminar fMRI","Yacoub, Essa","University Of Minnesota","2018","RFA-MH-17-235","Active","1RF1MH116978-01","Human NeuroscienceIntegrated ApproachesMonitor Neural Activity","9583106"
"Data Archive for The Brain Initiative® (DABI)","Duncan, Dominique Pouratian, Nader Toga, Arthur W (contact)","University Of Southern California","2018","RFA-MH-17-255","Active","1R24MH114796-01A1","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9588992"
"Linking neuronal, metabolic, and hemodynamic responses across scales","Ghose, Geoffrey M","University Of Minnesota","2018","RFA-MH-17-235","Active","1RF1MH117015-01","Human NeuroscienceIntegrated ApproachesMonitor Neural Activity","9583993"
"Brain-wide correlation of single-cell firing properties to patterns of gene expression","Cohen, Adam Ezra","Harvard University","2018","RFA-MH-17-220","Active","1RF1MH117042-01","Cell TypeCircuit DiagramsInterventional ToolsMonitor Neural Activity","9584464"
"RAVE: A New Open Software Tool for Analysis and Visualization of Electrocorticography Data","Beauchamp, Michael S","Baylor College Of Medicine","2018","RFA-MH-17-257","Active","1R24MH117529-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9592408"
"From ion channel dynamics to human EEG and MEG: multiscale neuronal models validated by human data","Bazhenov, Maksim V (contact) Cash, Sydney S Halgren, Eric","University Of California, San Diego","2018","RFA-MH-17-235","Active","1RF1MH117155-01","Human NeuroscienceIntegrated ApproachesMonitor Neural Activity","9586225"
"Ultrasonic neuromodulation: establishing mechanisms and parameters to optimize targeted neuromodulation and control sensory side-effects","Ortiz, Michael Shapiro, Mikhail  (contact) Shimojo, Shinsuke Tsao, Doris Ying","California Institute Of Technology","2018","RFA-MH-17-245","Active","1RF1MH117080-01","Human NeuroscienceInterventional ToolsMonitor Neural Activity","9585045"
"Remote Neurostimulation with Ultrasound-activated Piezoelectric Nanoparticles","Luke, Geoffrey P.","Dartmouth College","2018","RFA-EY-17-002","Active","1R21EY029422-01","Interventional ToolsMonitor Neural Activity","9590251"
"Network Control and Functional Context: Mechanisms for TMS Response","Bassett, Danielle Smith Oathes, Desmond  (contact) Satterthwaite, Theodore Daniel","University Of Pennsylvania","2018","RFA-MH-17-245","Active","1RF1MH116920-01","Human NeuroscienceInterventional ToolsMonitor Neural Activity","9582561"
"Cell atlas of mouse brain-spinal cord connectome","Dong, Hong-wei Tao, Huizhong Whit Zhang, Li I (contact)","University Of Southern California","2018","RFA-MH-17-230","Active","1U01MH116990-01","Cell TypeCircuit Diagrams","9583948"
"The impact of spontaneous cortical activity on neural oscillations and behavioral performance: Evidence from high-definition tDCS and MEG","Wilson, Tony W","University Of Nebraska Medical Center","2018","RFA-MH-17-245","Active","1RF1MH117032-01","Human NeuroscienceInterventional ToolsMonitor Neural Activity","9584253"
"PARALLEL ANALYSIS OF TRANSCRIPTION AND PROTEIN-DNA INTERACTIONS IN SINGLE CNS CELLS","Dougherty, Joseph D (contact) Mitra, Robi D","Washington University","2018","RFA-MH-17-220","Active","1RF1MH117070-01","Cell TypeCircuit DiagramsInterventional ToolsMonitor Neural Activity","9584904"
"A fully biological platform for monitoring mesoscale neural activity","Dzirasa, Kafui","Duke University","2018","RFA-EY-17-002","Active","1R21EY029451-01","Interventional ToolsMonitor Neural Activity","9591349"
"FlatScopes for Implantable and Scalable Optical Imaging of Neural Activity","Kemere, Caleb Robinson, Jacob T. (contact) Veeraraghavan, Ashok","Rice University","2018","RFA-EY-17-002","Active","1R21EY029459-01","Interventional ToolsMonitor Neural Activity","9591524"
"Dendritome mapping of genetically-defined and sparsely-labeled cortical and striatal projection neurons","Dong, Hong-wei Yang, Xiangdong William (contact)","University Of California Los Angeles","2018","RFA-MH-17-230","Active","1U01MH117079-01","Cell TypeCircuit Diagrams","9585042"
"A 100MM Scale Single Unit Neural Recording Probe Using IR-Based Powering and Communication","Blaauw, David","University Of Michigan At Ann Arbor","2018","RFA-EY-17-002","Active","1R21EY029452-01","Interventional ToolsMonitor Neural Activity","9591356"
"Novel optical probe for dopamine release in neural circuits","Feller, Marla  (contact) Landry, Markita","University Of California Berkeley","2018","RFA-EY-17-002","Active","1R21EY029405-01","Interventional ToolsMonitor Neural Activity","9590055"
"Rapid 3-D Nano-Printing to Create Multi-Thousand-Channel Microelectrode Arrays","Panat, Rahul Yttri, Eric  (contact)","Carnegie-mellon University","2018","RFA-EY-17-002","Active","1R21EY029441-01","Interventional ToolsMonitor Neural Activity","9591117"
"Increased thalamocortical connectivity in tdcs-potentiated generalization of cognitive training","Lim, Kelvin O. (contact) Macdonald, Angus W","University Of Minnesota","2018","RFA-MH-17-245","Active","1RF1MH116987-01","Human NeuroscienceInterventional ToolsMonitor Neural Activity","9583878"
"Illuminating Neurodevelopment through Integrated Analysis and Vizualization of Multi-Omic Data","Hertzano, Ronna  (contact) White, Owen R","University Of Maryland Baltimore","2018","RFA-MH-17-257","Active","1R24MH114815-01A1","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9590867"
"Synthetic imager to record cortical neural activity over whole cranium in freely-behaving animals","Yang, Weijian","University Of California At Davis","2018","RFA-EY-17-002","Active","1R21EY029472-01","Interventional ToolsMonitor Neural Activity","9591620"
"C-PAC: A configurable, compute-optimized, cloud-enabled neuroimaging analysis software for reproducible translational and comparative","Craddock, Richard Cameron Milham, Michael Peter (contact)","Child Mind Institute, Inc.","2018","RFA-MH-17-257","Active","1R24MH114806-01A1","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9591465"
"Collaborative Standards for Brain Microscopy","Hamilton, Carol M","Research Triangle Institute","2018","RFA-MH-17-256","Active","1R24MH114683-01A1","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9581172"
"Fast Spatial Light Modulators for Neuronal Excitation and Imaging","Faraon, Andrei","California Institute Of Technology","2018","RFA-EY-17-002","Active","1R21EY029460-01","Interventional ToolsMonitor Neural Activity","9591529"
"Selective Optogenetic Inhibition of Neuropeptide Release","Blinder, Pablo  (contact) Hu, Zhitao Lin, John Yu-luen","Tel Aviv University","2018","RFA-EY-17-002","Active","1R21EY029450-01","Interventional ToolsMonitor Neural Activity","9591347"
"OpenNeuro: An open archive for analysis and sharing of BRAIN Initiative data","Poldrack, Russell A","Stanford University","2018","RFA-MH-17-255","Active","1R24MH117179-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9587809"
"Technology for functional study of cells and circuits in large postmortem brains ex vivo","Sestan, Nenad","Yale University","2018","RFA-MH-17-220","Active","1RF1MH117064-01","Cell TypeCircuit DiagramsInterventional ToolsMonitor Neural Activity","9584833"
"3D-Fast Optical Interface for Rapid Volumetric Neural Sensing and Modulation","Gibson, Emily Welle, Cristin G (contact)","University Of Colorado Denver","2018","RFA-EY-17-002","Active","1R21EY029458-01","Interventional ToolsMonitor Neural Activity","9591501"
"What are we Stimulating with Transcranial Ultrasound in Mice?","Butts-pauly, Kim Butts","Stanford University","2018","RFA-MH-17-245","Active","1RF1MH116977-01","Human NeuroscienceInterventional ToolsMonitor Neural Activity","9583091"
"An Ultra High-Density Virtual Array with Nonlinear Processing of Multimodal Neural Recordings","Kuzum, Duygu","University Of California, San Diego","2018","RFA-EY-17-002","Active","1R21EY029466-01","Interventional ToolsMonitor Neural Activity","9591591"
"Boss: A cloud-based data archive for electron microscopy and x-ray microtomography","Wester, Brock A.","Johns Hopkins University","2018","RFA-MH-17-255","Active","1R24MH114785-01A1","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9588690"
"Imaging and Analysis Techniques to Construct a Cell Census Atlas of the Human Brain","Boas, David A Fischl, Bruce  (contact)","Massachusetts General Hospital","2018","RFA-MH-17-210","Active","1U01MH117023-01","Cell TypeCircuit DiagramsHuman Neuroscience","9584061"
"Towards integrated 3D reconstruction of whole human brains at subcellular resolution","Chung, Kwanghun","Massachusetts Institute Of Technology","2018","RFA-MH-17-210","Active","1U01MH117072-01","Cell TypeCircuit DiagramsHuman Neuroscience","9584926"
"Mechanisms underlying positive and negative BOLD in the striatum","Shih, Yen-yu Ian","Univ Of North Carolina Chapel Hill","2018","RFA-MH-17-235","Active","1RF1MH117053-01","Human NeuroscienceIntegrated ApproachesMonitor Neural Activity","9584691"
"Toward a human adult brain cell atlas with single-cell technologies","Chun, Jerold Zhang, Kun  (contact)","University Of California, San Diego","2018","RFA-MH-17-210","Active","1U01MH114828-01A1","Cell TypeCircuit DiagramsHuman Neuroscience","9584575"
"The Development and Human Translation of Temporal Interference Brain Stimulation","Pascual-leone, Alvaro","Beth Israel Deaconess Medical Center","2018","RFA-MH-17-240","Active","1R01MH117063-01","Human NeuroscienceInterventional ToolsMonitor Neural Activity","9584806"
"A method for anterograde trans-synaptic tracing","Arnold, Donald B","University Of Southern California","2018","RFA-MH-17-220","Active","1RF1MH116989-01","Cell TypeCircuit DiagramsInterventional ToolsMonitor Neural Activity","9583942"
"FOCUS: FUNCTIONAL OPTICAL IMAGING FEEDBACK-CONTROLLED CELLULAR-LEVEL ULTRASOUND STIMULATION","Chen, Hong","Washington University","2018","RFA-MH-17-240","Active","1R01MH116981-01","Human NeuroscienceInterventional ToolsMonitor Neural Activity","9583521"
"Non-invasive targeted neuromodulation via focused ultrasound BBB permeabilization","Livingstone, Margaret S (contact) Mcdannold, Nathan J","Harvard Medical School","2018","RFA-MH-17-240","Active","1R01MH116858-01","Human NeuroscienceInterventional ToolsMonitor Neural Activity","9572620"
"Noninvasive Gene Delivery for Monitoring and Perturbing Cell Types and Circuits in Transgenic and Non-Transgenic Animals","Gradinaru, Viviana","California Institute Of Technology","2018","RFA-MH-17-220","Active","1RF1MH117069-01","Cell TypeCircuit DiagramsInterventional ToolsMonitor Neural Activity","9584895"
"Development of a Revolutionary MRI System for Functional Brain Imaging","Wagner, Bob S Wang, Sou-tien Bert (contact)","Wang Nmr, Inc.","2018","PAR-15-091","Active","1R43MH119021-01","Circuit DiagramsInterventional ToolsMonitor Neural Activity","9623043"
"Neural Implant Insertion System using Ultrasonic Vibration to Reduce Tissue Dimpling and Improve Insertion Precision of Floating Arrays in the Neocortex","Mulvihill, Maureen L.","Actuated Medical, Inc.","2018","PAR-15-091","Active","1R43NS105500-01A1","Circuit DiagramsInterventional ToolsMonitor Neural Activity","9565293"
"Autonomously-activating bioluminescent reporters to enable continuous, real-time, non-invasive brain cell imaging","Sayler, Gary S","490 Biotech, Inc.","2018","PAR-15-091","Active","1R43MH118186-01","Circuit DiagramsInterventional ToolsMonitor Neural Activity","9621526"
"Dual-channel Sub-millisecond Resolution Neural Imaging System","Zhao, Youbo","Physical Sciences, Inc","2018","PAR-15-091","Active","1R43MH116748-01","Circuit DiagramsInterventional ToolsMonitor Neural Activity","9554175"
"Investigating the hypocretin to VTA circuit in memory consolidation during sleep","Borniger, Jeremy","Stanford University","2018","RFA-MH-17-250","Active","1F32MH115431-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9453934"
"Neuronal and Dopaminergic Contributions to Dissimilar Evoked Hemodynamic Responses in the Striatum","Walton, Lindsay","Univ Of North Carolina Chapel Hill","2018","RFA-MH-17-250","Active","1F32MH115439-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9454747"
"Model behavior in zebrafish: characterization of the startle response","Meserve, Joy Hart","University Of Pennsylvania","2018","RFA-MH-17-250","Active","1F32MH115434-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9454043"
"Development of Line-Scan Temporal Focusing for fast structural imaging of synapse assembly/disassembly in vivo","Boivin, Josiah R","Massachusetts Institute Of Technology","2017","RFA-MH-17-250","Active","1F32MH115441-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9454808"
"the self-tuning brain: cellular and circuit mechanisms of behavioral resilience","Fairhall, Adrienne L Gardner, Timothy James Lois, Carlos  (contact)","California Institute Of Technology","2017","RFA-NS-17-014","Active","1R01NS104925-01","Integrated Approaches","9451082"
"Circuit mechanisms underlying learned changes in persistent neural activity","Aksay, Emre  (contact) Goldman, Mark S Seung, Hyunjune Sebastian","Weill Medical Coll Of Cornell Univ","2018","RFA-NS-17-014","Active","1R01NS104926-01","Integrated Approaches","9451093"
"Investigating the Role of Neurotensin on Valence Assignment During Associative Learning in the Basolateral Amygdala","Olson, Jacob Michael","Massachusetts Institute Of Technology","2017","RFA-MH-17-250","Active","1F32MH115446-01","Cell TypeCircuit DiagramsHuman NeuroscienceIntegrated ApproachesInterventional ToolsMonitor Neural ActivityTheory & Data Analysis Tools","9455235"
"Thalamocortical state control of tactile sensing: Mechanisms, Models, and Behavior","Stanley, Garrett B.","Georgia Institute Of Technology","2018","RFA-NS-17-014","Active","1R01NS104928-01","Integrated Approaches","9451098"
"Neural circuits for spatial navigation","Maimon, Gaby","Rockefeller University","2018","RFA-NS-17-014","Active","1R01NS104934-01","Integrated Approaches","9451120"
"Investigating the neurocircuitry of sleep duration regulation","Fu, Ying-hui","University Of California, San Francisco","2018","RFA-NS-17-014","Active","1R01NS104782-01","Integrated Approaches","9449092"
"Subiculm circuits for cortical feedback regulation of spatial mapping and learning","Nitz, Douglas Arthur Xu, Xiangmin  (contact)","University Of California-irvine","2018","RFA-NS-17-014","Active","1R01NS104897-01","Integrated Approaches","9450759"
"Neural mechanisms of active avoidance behavior","Castro-alamancos, Manuel A","Drexel University","2018","RFA-NS-17-014","Active","1R01NS104810-01","Integrated Approaches","9449543"
"DELINEATING CELL-SPECIFIC OUTPUT PATHWAYS OF THE GPe THAT SUPPORT LONG-LASTING BEHAVIORAL RECOVERY IN DOPAMINE DEPLETED MICE","Gittis, Aryn Hilary","Carnegie-mellon University","2018","RFA-NS-17-014","Active","1R01NS104835-01","Integrated Approaches","9450070"
"Thalamocortical and corticocortical mechanisms for sleep-dependent visual learning","Aton, Sara J","University Of Michigan","2018","RFA-NS-17-014","Active","1R01NS104776-01","Integrated Approaches","9447654"
"Neuromodulation of Brain States","Luo, Liqun","Stanford University","2018","RFA-NS-17-014","Active","1R01NS104698-01","Integrated Approaches","9445903"
"Elucidating the Wiring and Rewiring of Poly-synaptic Memory Circuits by Directed Stepwise Trans-neuronal Tracing","Xu, Wei","Ut Southwestern Medical Center","2018","RFA-NS-17-014","Active","1R01NS104828-01","Integrated Approaches","9449944"
