ID,ACT_CATEGORY,ACT_CODE,ACT_TITLE,ACT_DESCRIPTION,ACT_WEB_ADDRESS
5,Fellowship Programs,F05,International Research Fellowships (FIC),To provide collaborative research opportunities for qualified non-immigrant alien scientists who hold a doctoral degree or its equivalent in one of the biomedical or behavioral sciences.,http://grants.nih.gov/training/F_files_non_nrsa.htm
6,Fellowship Programs,F30,Individual Predoctoral NRSA for M.D./Ph.D. Fellowships,Individual fellowships for predoctoral training which leads to the combined M.D./Ph.D. degrees.,http://grants.nih.gov/training/F_files_nrsa.htm
7,Fellowship Programs,F31,Predoctoral Individual National Research Service Award,"To provide predoctoral individuals with supervised research training in specified health and health-related areas leading toward the research degree (e.g., Ph.D.).",http://grants.nih.gov/training/F_files_nrsa.htm
8,Fellowship Programs,F32,Postdoctoral Individual National Research Service Award,To provide postdoctoral research training to individuals to broaden their scientific background and extend their potential for research in specified health-related areas.,http://grants.nih.gov/training/F_files_nrsa.htm
9,Fellowship Programs,F33,National Research Service Awards for Senior Fellows,"To provide opportunities for experienced scientists to make major changes in the direction of research careers, to broaden scientific background, to acquire new research capabilities, to enlarge command of an allied research field, or to take time from regular professional responsibilities for the purpose of increasing capabilities to engage in health-related research.",http://grants.nih.gov/training/F_files_nrsa.htm
120,Fellowship Programs,F37,Medical Informatics Fellowships,"To provide training to individuals in the synthesis, organization, and management of knowledge. The training should be interdisciplinary - involving medicine, biotechnology, and cognitive sciences, information science, and computer science.",http://grants.nih.gov/training/F_files_non_nrsa.htm
121,Fellowship Programs,F38,Applied Medical Informatics Fellowships,"To provide opportunities for scientists to make major changes in the direction of research careers for the purpose of engaging in the synthesis, organization, and management of knowledge.",http://grants.nih.gov/training/extramural.htm
250,Fellowship Programs,F99,Pre-doc to Post-doc Transition Award,To support the Pre-doctoral Phase of a Pre-doctoral to Post-doctoral transition award that provides 1-2 years of predoctoral support for highly motivated graduate students. The F99 activity code is intended to only be used in conjunction with a K00 Award,
239,Fellowship Programs,FI2,Intramural Postdoctoral Research Associate,To provide postdoctoral research training to individuals in the NIH or FDA intramural research programs to broaden their scientific background and extend their potential for research in specified health-related areas.,
10,Resource Programs,G07,Resources Improvement Grant,"A non-renewable grant available to health related organizations to establish, expand or improve Internet connectivity and improve access to digital information resources.",
11,Resource Programs,G08,Resources Project Grant (NLM),A grant available to health-related institutions to improve the organization and management of health related information using computers and networks.,
12,Resource Programs,G11,Extramural Associate Research Development Award (EARDA),To provide funds to institutions eligible to participate in the NIH Extramural Associates Program for establishing or enhancing an office of sponsored research and for other research infrastructure needs.,
13,Resource Programs,G12,Research Centers in Minority Institutions Award,To assist predominantly minority institutions that offer the doctorate in the health professions and/or health-related sciences in strengthening and augmenting their human and physical resources for the conduct of biomedical research.,
14,Resource Programs,G13,Health Sciences Publication Support Awards (NLM),"To provide short-term assistance for the preparation of book-length manuscripts about important scientific information needed by U.S. health professionals. Grants are awarded for major critical reviews and analyses of historical studies and current developments in informatics, technology, librarianship, and secondary reference materials in the biomedical field.  Publication in formats other than print-on-paper (e.g., electronic, film, etc.) are encouraged, as are new and innovative ways of organizing and presenting information. Publication grants do not support journals or other serials and are not suitable for operation of established databases. Work judged to have significant commercial viability will not be supported by these grants. ",
15,Resource Programs,G20,"Grants for Repair, Renovation and Modernization of Existing Research Facilities ","To provide funds for major repair, renovation, and modernization of existing research facilities.  These facilities may be the clinical research facilities, animal research facilities, and other related research facilities.",
122,Resource Programs,G94,Administrative Support for Public Health Service Agency Foundations,"Provides financial assistance, as specified by legislation or other authority, for administration of an agency foundation which supports and carries out research, educational, health services, or other activities related to the mission of that PHS agency.",
124,Community Services Program,H13,Conferences Active,"To support international, national, or regional conferences, symposiums, or workshops dealing with services for the rehabilitation, prevention, and treatment of categorical diseases.",
258,Community Services Program,H23,Immunization Program,"Provides financial assistance to public agencies for the purposes of planning, developing, implementing, and studying
immunization programs to control serious diseases for which effective immunizing agents are available.
",
125,Community Services Program,H25,Venereal Disease Control,"Provides financial assistance to public agencies for the purpose of planning, developing, implementing, and studying venereal disease control programs to inhibit the spread of venereal disease throughout the country.",
259,Community Services Program,H28,State and Community-Based Injury Control Programs,"Provides financial assistance to health agencies serving populations of over 1 million for them to develop, expand, or improve injury control programs to reduce morbidity, mortality, severity, disability, and cost from injuries.",
126,Community Services Program,H50,"Maternal and Child Health Services Project, RB Funds Active",(Definition not available),
127,Community Services Program,H57,Indian Health Service Loan Repayment Program,To provide periodic reimbursement for educational loan payment to IHS professionals who agree to serve an applicable period of time in a Retention/Recruitment Priority Site.,
128,Community Services Program,H62,Services or Education on AIDS,"Provides financial assistance to public and non-profit private entities for information and education programs on the Acquired Immune Deficiency Syndrome, and for diagnostic, prevention, and control services of AIDS.",
129,Community Services Program,H64,State and Community-Based Childhood Lead Poisoning Prevention Program,"Provides financial assistance to State agencies and city/country agencies, based on need, to enable them to develop, expand, or improve childhood lead poisoning prevention programs.",
130,Community Services Program,H75,Health Investigations/Assessments of Control/Preven. Methods,"Provides financial assistance to States or local governments or other health-related organizations, to perform special investigations of communicable diseases and other preventable health conditions, or to research and evaluate methods of preventing disease or controlling health conditions.",
131,Community Services Program,H79,Mental Health and/or Substance Abuse Services Grants,To support services and other activities for the prevention and/or treatment of mental illness and/or substance abuse disorders and/or for the promotion of health.,
123,Community Services Program,HD4,Drug Use/Alcohol Abuse Prevention Demo: Community Partnership Study,"Provides financial assistance to local governments and/or local private non-profit organizations, designated to act on behalf of larger coalitions, to demonstrate models for elimination of alcohol and other drug abuse, especially by development of partnerships to encourage various individuals and groups in a community to more effectively coordinate prevention programs and to develop prevention initiatives; and to demonstrate the effectiveness of such community-based groups in prevention and early intervention. The Community Prevention Coalitions Demonstration (CPCD) program is included in this activity code.",
191,Non-HHS Federal Awards,I01,Non-HHS Research Projects,"To support research projects of non-DHHS entities.  For the VA, this will be used for intramural research projects.",
253,Research Projects,I80,DoD Research Project Grant Program (I80),"The DoD Research Project (I80) grant is an award made to support a discrete, specified,
circumscribed project to be performed by the named investigator(s) in an area
representing the investigator's specific interest and competencies, based on the mission
of the DoD.",
229,Non-DHHS Federal Awards,IK3,Non-DHHS Nursing Research Initiative,"To provide research and salary support for a supervised/mentored career development experience for nurses.  Awards are not renewable, nor are they transferable from one principal investigator to another. ",
251,Research Career Programs,K00,Post-doctoral Transition Award,To support the second phase of a Pre-Doctoral to Post-Doctoral Transition award program that provides 3-4 years of career support. Note: The K00 Post-doctoral Transition Award is anticipated to only be used in conjunction with the F99 Pre-Doctoral Award.,
16,Research Career Programs,K01,Research Scientist Development Award - Research & Training,"For support of a scientist, committed to research, in need of both advanced research training and additional experience.",http://grants.nih.gov/training/careerdevelopmentawards.htm
17,Research Career Programs,K02 ,Research Scientist Development Award - Research,"For support of a scientist, committed to research, in need of additional experience.",http://grants.nih.gov/training/careerdevelopmentawards.htm
18,Research Career Programs,K05,Research Scientist Award,"For the support of a research scientist qualified to pursue independent research which would extend the research program of the sponsoring institution, or to direct an essential part of this research program.",http://grants.nih.gov/training/careerdevelopmentawards.htm
19,Research Career Programs,K06,Research Career Awards,To enable institutions to finance positions favorable to the intellectual growth and research productivity of established investigators of high competence for the duration of their careers.,http://grants.nih.gov/training/extramural.htm
20,Research Career Programs,K07,Academic/Teacher Award (ATA),"To create and encourage a stimulating approach to disease curricula that will attract high quality students, foster academic career development of promising young teacher-investigators, develop and implement excellent multidisciplinary curricula through interchange of ideas and enable the grantee institution to strengthen its existing teaching program.",http://grants.nih.gov/training/careerdevelopmentawards.htm
21,Research Career Programs,K08,Clinical Investigator Award (CIA),"To provide the opportunity for promising medical scientists with demonstrated aptitude to develop into independent investigators, or for faculty members to pursue research aspects of categorical areas applicable to the awarding unit, and aid in filling the academic faculty gap in these shortage areas within health profession's institutions of the country.",http://grants.nih.gov/training/careerdevelopmentawards.htm
22,Research Career Programs,K12,Physician Scientist Award (Program) (PSA),For support to a newly trained clinician appointed by an institution for development of independent research skills and experience in a fundamental science within the framework of an  interdisciplinary research and development program.,http://grants.nih.gov/training/careerdevelopmentawards.htm
23,Research Career Programs,K14,Minority School Faculty Development Awards,To encourage the development of faculty investigators at minority schools and to enhance their research capabilities in specified health and health related areas.,http://grants.nih.gov/training/extramural.htm
24,Research Career Programs,K18           ,The Career Enhancement Award,Provides either full-time or part-time support for experienced scientists who wish to broaden their scientific capabilities or to make changes in their research careers by acquiring new research skills or knowledge.  Career enhancement experiences supported by this award should usually last no more than one year.,http://grants.nih.gov/training/careerdevelopmentawards.htm
214,Research Career Programs,K21,Scientist Development Award,"To foster the development of outstanding scientists with potential for making important contributions to the fields of alcoholism, drug abuse or mental health (ADM) research. Primarily intended to meet the need for supervised research experience for highly promising biological or behavioral scientists who need further supervised research experience.",http://grants.nih.gov/training/extramural.htm
25,Research Career Programs,K22,Career Transition Award,To provide support to outstanding newly trained basic or clinical investigators to develop their independent research skills through a two phase program; an initial period involving and intramural appointment at the NIH and a final period of support at an extramural institution.  The award is intended to facilitate the establishment of a record of independent research by the investigator in order to sustain or promote a successful research career.,http://grants.nih.gov/training/careerdevelopmentawards.htm
26,Research Career Programs,K23,Mentored Patient-Oriented Research Career Development Award,"To provide support for the career development of investigators who have made a commitment to focus their research endeavors on patient-oriented research.  This mechanism provides support for a 3 year minimum up to 5 year period of supervised study and research for clinically trained professionals who have the potential to develop into productive, clinical investigators.",http://grants.nih.gov/training/careerdevelopmentawards.htm
27,Research Career Programs,K24,Midcareer Investigator Award in Patient-Oriented Research,To provide support for the clinicians to allow them protected time to devote to patient-oriented research and to act as mentors for beginning clinical investigators.  ,http://grants.nih.gov/training/careerdevelopmentawards.htm
28,Research Career Programs,K25 ,Mentored Quantitative Research Career Development Award,"To engender and foster such activities by supporting the career development of investigators with quantitative scientific and engineering backgrounds outside of biology or medicine who have made a commitment to focus their research endeavors on behavioral and biomedical research (basic or clinical).  This mechanism is aimed at research-oriented scientists with experience at the level of junior faculty (e.g., early to mid-levels of assistant professor or research assistant professor ranks).  This award provides support for a period of mentored study and research for professionals with such backgrounds who have the potential to integrate their expertise with biomedicine and develop into productive investigators. Examples of quantitative scientific and technical backgrounds outside of biology or medicine considered appropriate for this award include, but are not limited to:  mathematics, statistics, computer science, informatics, physics, chemistry, and engineering. ",http://grants.nih.gov/training/careerdevelopmentawards.htm
29,Research Career Programs,K26,Midcareer Investigator Award in Biomedical and Behavioral Research,The purpose of the Midcareer Investigator Award in Biomedical and Behavioral Research is to provide grant support for biomedical and behavioral scientists to allow them protected time to devote to their research and mentoring.,http://grants.nih.gov/training/careerdevelopmentawards.htm
30,Research Career Programs,K30,Clinical Research Curriculum Award (CRCA),"The CRCA is an award to institutions and is intended to stimulate the inclusion of high-quality, multi-disciplinary didactic training as part of the career development of clinical investigators.  This award is intended to support the development of new didactic programs in clinical research at institutions that do not currently offer such programs or, in institutions with existing didactic programs in clinical research to support or expand their programs or to improve the quality of instruction.",http://grants.nih.gov/training/careerdevelopmentawards.htm
256,Research Career Programs,K38,Early Stage Mentored Research and Career Development,To provide the opportunity for postdoctoral health professionals to engage in research and career development in categorical areas applicable to the awarding unit.,
241,Research Career Programs,K43,International Research Career Development Award,"For support of a Low- or Middle-Income Country scientist, committed to research at a Low- or Middle-Income Country institution, in need of career development and additional mentored research experience.",
247,Research Career Programs,K76,Emerging Leaders Career Development Award,To advance the development of physician-scientists prepared to take an active role in addressing both present and future challenges of a global biomedical research enterprise as relevant to their field of expertise.,
31,Research Career Programs,K99,Career Transition Award,"To support the initial phase of a Career/Research Transition award program that provides 1-2 years of mentored support for highly motivated, advanced postdoctoral research scientists.",http://grants.nih.gov/training/careerdevelopmentawards.htm
132,Research Career Programs,KD1,Mental Health and/or Substance Abuse KD&A Grants,"To provide support to develop new knowledge about ways to improve the prevention and/or treatment of substance abuse and/or mental illness, and to work with State and local governments as well as providers, families, and consumers to apply that knowledge effectively in everyday practice. Outcome measures are the heart and core of the KD&A program. KD&As do not provide operating funds for service programs, except as required by the knowledge development activity.",http://grants.nih.gov/training/extramural.htm
32,Research Career Programs,KL1 ,Linked Research Career Development Award,"For support of a scientist, committed to research, in need of both advanced research training and additional experience. The grant is administratively linked to another project or projects. A KL1 award may only be disaggregated from a U54 application and organizations may not apply for a KL1, Linked Research Career Development Award. The KL1 is used in lieu of the K01 for those programs that offer linked awards.",http://grants.nih.gov/training/extramural.htm
33,Research Career Programs,KL2 ,Mentored Career Development Award,"To support newly trained clinicians appointed by an institution for activities related to the development of a successful clinical and translational research career. The award is administratively linked to another project or projects. A KL2 award may only be disaggregated from a U54 application and organizations may not apply for a KL2, Mentored Career Development Award. The KL2 is used in lieu of the K12 for those programs that offer linked awards.",http://grants.nih.gov/training/extramural.htm
211,Research Career Programs,KM1,Institutional Career Enhancement Awards - Multi-Yr Funding,"Provides for part time (minimum 25% effort) up to full-time support for medical, scientific, statistics and health care professionals with post-doctoral or equivalent experience selected by an institution, to broaden their research capabilities by acquiring new research skills or knowledge.  Further it provides for curriculum development of new programs to support these same types of individuals.  This is an institutional mentored career program, not an individual program. It is also a multi-year funded institutional mentored career development activity thus ICs need OER prior approval to use the KM1.",http://grants.nih.gov/training/extramural.htm
34,Research Career Programs,L30,Loan Repayment Program for Clinical Researchers ,To provide for the repayment of the educational loan debt of qualified health professionals involved in clinical research.   Qualified health professionals who contractually agree to conduct qualified clinical research are eligible to apply for this program.,
35,Research Career Programs,L32 ,Loan Repayment Program for Clinical Researchers from Disadvantaged Backgrounds ,To provide for the repayment of the educational loan debt of qualified health professionals from disadvantaged backgrounds involved in clinical research. Qualified health professionals from disadvantaged backgrounds who contractually agree to conduct qualified clinical research are eligible to apply for this program.,
36,Research Career Programs,L40 ,Loan Repayment Program for Pediatric Research ,"To provide for the repayment of the educational loan debt of qualified health professionals involved in research directly related to diseases, disorders, and other conditions in children. Qualified health professionals who contractually agree to conduct qualified pediatric research are eligible to apply for this program.",
37,Research Career Programs,L50,Loan Repayment Program for Contraception and Infertility Research ,To provide for the repayment of the educational loan debt of qualified health professionals (including graduate students) who contractually agree to commit to conduct qualified contraception and/or infertility research.,
38,Research Career Programs,L60  ,Loan Repayment Program for Health Disparities Research,"To provide for the repayment of the educational loan debt of qualified health professionals involved in minority health and health disparities research, for the purposes of improving minority health and reducing health disparities. Qualified health professionals who contractually agree to conduct qualified minority health disparities research or other health disparities research eligible to apply for this program.   ",
39,General Clinical Research Centers Program,M01,General Clinical Research Centers Program,"An award made to an institution solely for the support of a General Clinical Research Center where scientists conduct studies on a wide range of human diseases using the full spectrum of the biomedical sciences.  Costs underwritten by these grants include those for renovation, for operational expenses  such as staff salaries, equipment, and supplies, and for hospitalization.  A General Clinical Research Center is a discrete unit of research beds separated from the general care wards.",
249,Other Transactions,OT2,Research Project-Other Transaction Award,"An award other than a procurement contract, grant or cooperative agreement to carry out a specific function, initiative, program, project, or research under an Other Transactions Authority.",
40,Research Program Projects and Centers,P01,Research Program Projects,"For the support of a broadly based, multidisciplinary, often long-term research program which has a specific major objective or a basic theme. A program project generally involves the organized efforts of relatively large groups, members of which are conducting research projects designed to elucidate the various aspects or components of this objective. Each research project is usually under the leadership of an established investigator. The grant can provide support for certain basic resources used by these groups in the program, including clinical components, the sharing of which facilitates the total research effort. A program project is directed toward a range of problems having a central research focus, in contrast to the usually narrower thrust of the traditional research project. Each project supported through this mechanism should contribute or be directly related to the common theme of the total research effort. These scientifically meritorious projects should demonstrate an essential element of unity and interdependence, i.e., a system of research activities and projects directed toward a well-defined research program goal.",http://grants.nih.gov/grants/funding/funding_program.htm#PSeries
41,Research Program Projects and Centers,P20,Exploratory Grants,"To support planning for new programs, expansion or modification of existing resources, and feasibility studies to explore various approaches to the development of interdisciplinary programs that offer potential solutions to problems of special significance to the mission of the NIH.  These exploratory studies may lead to specialized or comprehensive centers.",http://grants.nih.gov/grants/funding/funding_program.htm#PSeries
230,Research Program Projects and Centers,P2C,Resource-Related Research Multi-Component Projects and Centers,To support multi-component research resource projects and centers that will enhance the capability of resources to serve biomedical research. ,
42,Research Program Projects and Centers,P30,Center Core Grants,"To support shared resources and facilities for categorical research by a number of investigators from different disciplines who provide a multidisciplinary approach to a joint research effort or from the same discipline who focus on a common research problem.  The core grant is integrated with the center's component projects or program projects, though funded independently from them.  This support, by providing more accessible resources, is expected to assure a greater productivity than from the separate projects and program projects.",http://grants.nih.gov/grants/funding/funding_program.htm#PSeries
43,Research Program Projects and Centers,P40,"Animal (Mammalian and Nonmammalian) Model, and Animal and Biological Material Resource Grants  ","To develop and support animal (mammalian and nonmammalian) models, or animal or biological materials resources available to all qualified investigators without regard to the scientific disciplines or disease orientations of their research activities or specifically directed to a categorical program.  Nonmammalian resources include nonmammalian vertebrates, invertebrates, cell systems, and nonbiological systems.",
44,Research Program Projects and Centers,P41 ,Biotechnology Resource Grants,To support biotechnology resources available to all qualified investigators without regard to the scientific disciplines or disease orientations of their research activities or specifically directed to a categorical program area.,
45,Research Program Projects and Centers,P42  ,Hazardous Substances Basic Research Grants Program (NIEHS),"To support basic research directed towards understanding and attenuating the public health effects resulting from exposure to hazardous substances, including 1) advanced techniques for detection, assessment and evaluation of the effects on human health of hazardous substances; 2) methods to assess risks to human health presented by hazardous substances; 3) methods and technologies to detect hazardous substances in the environment and 4) basic biological, chemical, and physical methods to reduce the amount and toxicity of hazardous substances. This special program, authorized under Superfund legislation, is for a broadly based, multi-disciplinary research effort which must include biomedical research components and which may include research components related to engineering, hydrogeology, ecology and epidemiology so long as they are linked to basic biomedical science. Each research project is generally under the leadership of an established investigator. The grant can provide support for certain basic resources used by the groups in the program (cores), including an administrative structure for effective coordination.",
46,Research Program Projects and Centers,P50,Specialized Center,To support any part of the full range of research and development from very basic to clinical; may involve ancillary supportive activities such as protracted patient care necessary to the primary research or R&D effort.  The spectrum of activities comprises a multidisciplinary attack on a specific disease entity or biomedical problem area.  These grants differ from program project grants in that they are usually developed in response to an announcement of the programmatic needs of an Institute or Division and subsequently receive continuous attention from its staff.  Centers may also serve as regional or national resources for special research purposes.,http://grants.nih.gov/grants/funding/funding_program.htm#PSeries
47,Research Program Projects and Centers,P51,Primate Research Center Grants ,"To support centers which include a multidisciplinary and multi-categorical core research program using primate animals and to maintain a large and varied primate colony which is available to affiliated, collaborative, and visiting investigators for basic and applied biomedical research and training.",
48,Research Program Projects and Centers,P60,Comprehensive Center,"To support a multipurpose unit designed to bring together into a common focus divergent but related facilities within a given  community.  It may be based in a university or may involve other locally available resources, such as hospitals, computer facilities, regional centers, and primate colonies.  It may include specialized centers, program projects and projects as integral components.  Regardless of the facilities available to a program, it usually includes the following objectives:  to foster biomedical research and development at both the fundamental and clinical levels; to initiate and expand community education, screening, and counseling programs; and to educate medical and allied health professionals concerning the problems of diagnosis and treatment of a specific disease.",
49,Research Program Projects and Centers,PL1 ,Linked Center Core Grant,"To support shared resources and facilities for categorical research by a number of investigators from different disciplines who provide a multidisciplinary approach to a joint research effort or from the same discipline who focus on a common research problem. The core grant is integrated with the center's component projects or program projects, though funded independently from them. This support, by providing more accessible resources, is expected to assure a greater productivity than from the separate projects and program projects. The Linked Center Core Grant is administratively linked to another project or projects. A PL1 award may only be disaggregated from a U54 application and organizations may not apply for a PL1, Linked Center Core Grant. The PL1 is used in lieu of the P30 for those programs that offer linked awards.",
232,Research Program Projects and Centers,PM1,Program Project or Center with Complex Structure,To support a complex research program or center with complicated structures that cannot be appropriately categorized into an available multicomponent activity code. The performance period may extend up to seven years but only through the established deviation request process.  ICs desiring to use this activity code for programs greater than 5 years must receive OPERA prior approval through the deviation request process.,
50,Research Program Projects and Centers,PN1,Concept Development Award,"To support the planning and research activities required to assemble multidisciplinary research teams in order to generate an extensive plan that describes the scientific areas, organization, and operation of a research center. Concept Development Awards are not renewable.",
51,Research Program Projects and Centers,PN2,Research Development Center ,"To support any part of the full range of research and development from very basic to clinical as well as any educational, administrative, or other activities required in the center. The spectrum of research activities comprises a multidisciplinary approach to promote research primarily in a new or emerging biomedical scientific area. These centers are expected to operate as a networkof centers to promote interactions and resource sharing. Only recipients of the PN1 are eligible to apply for the PN2.",
52,Research Projects  ,R00,Research Transition Award,To support the second phase of a Career/Research Transition award program that provides 1 -3 years of independent research support (R00) contingent on securing an independent research position. Award recipients will be expected to compete successfully for independent R01 support from the NIH during the R00 research transition award period.,http://grants.nih.gov/training/careerdevelopmentawards.htm
53,Research Projects  ,R01,Research Project,"To support a discrete, specified, circumscribed project to be performed by the named investigator(s) in an area representing his or her specific interest and competencies.",http://grants.nih.gov/grants/funding/r01.htm
54,Research Projects  ,R03,Small Research Grants,To provide research support specifically limited in time and amount for studies in categorical program areas.  Small grants provide flexibility for initiating studies which are generally for preliminary short-term projects and are non-renewable.,http://grants.nih.gov/grants/funding/r03.htm
55,Research Projects  ,R13,Conference,"To support recipient sponsored and directed international, national or regional meetings, conferences and workshops.",http://grants.nih.gov/grants/funding/r13/index.htm
56,Research Projects  ,R15,Research Enhancement Awards,"Supports small-scale research projects at educational institutions that provide baccalaureate or advanced degrees for a significant number of the Nation’s research scientists but that have not been major recipients of NIH support. The goals of the program are to (1) support meritorious research, (2) expose students to research, and (3) strengthen the research environment of the institution. Awards provide limited Direct Costs, plus applicable F&amp;A costs, for periods not to exceed 36 months. This activity code uses multi-year funding authority; however, OER approval is NOT needed prior to an IC using this activity code.",http://grants.nih.gov/grants/funding/area.htm
262,Research Projects,R16,Research Excellence Award,"Supports small-scale research projects at educational institutions that that enroll significant
numbers of students from backgrounds nationally underrepresented in biomedical research,
award baccalaureate and graduate degrees in biomedical sciences, and receive limited NIH
funding.",
57,Research Projects  ,R18,Research Demonstration and Dissemination Projects,"To provide support designed to develop, test, and evaluate health service activities, and to foster the application of existing knowledge for the control of categorical diseases.",
58,Research Projects  ,R21,Exploratory/Developmental Grants,To encourage the development of new research activities in categorical program areas.  (Support generally is restricted in level of support and in time.),http://grants.nih.gov/grants/funding/r21.htm
59,Research Projects  ,R24 ,Resource-Related Research Projects,To support research projects that will enhance the capability of resources to serve biomedical research.,http://grants.nih.gov/grants/funding/funding_program.htm#Resource
60,Research Projects  ,R25,Education Projects,"For support to develop and/or implement a program as it relates to a category in one or more of the areas of education, information, training, technical assistance, coordination, or evaluation.",http://grants.nih.gov/grants/funding/funding_program.htm#Resource
225,Research Projects,R28,Resource-Related Research Projects,To support research projects contributing to improvement of the capability of resources to serve clinical research. ,
260,Research Projects,R2F,Food Safety Capacity and Infrastructure Building,"To build food safety capacity and infrastructure by assisting State, locality, territory, Indian tribe, or nonprofit food safety training entity that collaborates with 1 or more institutions of higher education to undertake food safety inspections, investigations, and examinations; train to the standards established by the HHS Secretary; build lab capacity; and respond to notifications received under Section 1008 and recalls.",
134,Research Projects,R30,"Preventive Health Service - Venereal Disease Research, Demonstration, and Public Information and Education Grants",(Definition not available),
61,Research Projects  ,R33,Exploratory/Developmental Grants Phase II,"The R33 award is to provide  a second phase for the support for innovative exploratory and development research activities initiated under the R21 mechanism.  Although only R21 awardees are generally eligible to apply for R33 support, specific program initiatives may establish eligibility criteria under which applications could be accepted from applicants demonstrating progress equivalent to that expected under R33.",
62,Research Projects  ,R34,Planning Grant,"To provide support for the initial development of a clinical trial or research project, including the establishment of the research team; the development of tools for data management and oversight of the research; the development of a trial design or experimental research designs and other essential elements of the study or project, such as the protocol, recruitment strategies, procedure manuals and collection of feasibility data.",http://grants.nih.gov/grants/funding/r34.htm
237,Research Projects,R35,Outstanding Investigator Award,To provide long term support to an experienced investigator with an outstanding record of research productivity. This support is intended to encourage investigators to embark on long-term projects of unusual potential.,
135,Research Projects,R36,Dissertation Award,To support dissertation research costs of students in accredited research doctoral programs in the United States (including Puerto Rico and other U.S. territories or possessions). Dissertation awards are not renewable.,
63,Research Projects  ,R37,Method to Extend Research in Time (MERIT) Award,To provide long-term grant support to investigators whose research competence and productivity are distinctly superior and who are highly likely to continue to perform in an outstanding manner.  Investigators may not apply for a MERIT award.  Program staff and/or members of the cognizant National Advisory Council/Board will identify candidates for the MERIT award during the course of review of competing research grant applications prepared and submitted in accordance with regular PHS requirements.,
255,Research Projects,R38,Mentored Research Pathway in Residency,"For support to develop and/or implement an institutional program offering mentored
research in residency.",
64,Research Projects  ,R41,Small Business Technology Transfer (STTR) Grants - Phase I,"To support cooperative R&D projects between small business concerns and research institutions, limited in time and amount, to establish the technical merit and feasibility of ideas that have potential for commercialization.  Awards are made to small business concerns only.",http://grants.nih.gov/grants/funding/sbir.htm
65,Research Projects  ,R42,Small Business Technology Transfer (STTR) Grants - Phase II,"To support in - depth development of cooperative R&D projects between small business concerns and research institutions, limited in time and amount, whose feasibility has been established in Phase I and that have potential for commercialization.  Awards are made to small business concerns only.",http://grants.nih.gov/grants/funding/sbir.htm
66,Research Projects  ,R43,Small Business Innovation Research Grants (SBIR) - Phase I,"To support projects, limited in time and amount, to establish the technical merit and feasibility of R&D ideas which may ultimately lead to a commercial product(s) or service(s).",http://grants.nih.gov/grants/funding/sbir.htm
67,Research Projects  ,R44,Small Business Innovation Research Grants (SBIR) - Phase II,To support in - depth development of R&D ideas whose feasibility has been established in Phase I and which are likely to result in commercial products or services.  SBIR Phase II are considered “Fast-Track” and do not require National Council Review.,http://grants.nih.gov/grants/funding/sbir.htm
